OCC2010,abstract,routine,manual,rti
10,4.306666666666667,1.9300000000000002,2.0675,-1.5396764791641664
20,3.82,2.15,2.16,-1.3448908021749864
30,4.144444444444445,2.0033333333333334,2.098333333333333,-1.4747479201677731
40,3.44,1.85,1.945,-1.285547809365483
50,3.805,1.765,1.875,-1.3955803950024044
60,3.3466666666666662,2.0,1.925,-1.1697436127752756
100,3.74,2.5066666666666664,2.551666666666667,-1.3314877935466498
110,3.796666666666667,2.58,2.285,-1.2127001142036231
120,3.8555555555555556,2.3400000000000003,1.765,-1.0619974472541192
135,3.736666666666667,2.355,1.625,-0.9471610367292786
136,3.863333333333333,2.14,1.795,-1.1757295615900327
137,4.07,1.89,1.605,-1.2401899269649317
140,3.646111111111111,3.1991666666666667,2.4341666666666666,-1.02046236331091
150,3.786666666666666,2.46,1.63,-0.9199047894992952
160,3.743333333333333,2.4000000000000004,2.3525,-1.284767524148236
205,3.6533333333333338,2.635,3.41,-1.5534691021538598
220,3.5933333333333333,2.8,3.175,-1.4047684919762382
230,3.716666666666667,1.856666666666667,1.8183333333333331,-1.2953017717934878
300,3.995,2.3425000000000002,2.35,-1.3874807392146362
310,3.34,2.495,2.385,-1.160881202125431
325,3.70030303030303,2.3595454545454544,2.364090909090909,-1.3013871092987328
330,3.4433333333333334,2.6100000000000003,2.22,-1.0745969690130237
340,3.51,2.97,2.145,-0.9301936370431464
350,4.010000000000001,2.54,2.02,-1.159724671701146
360,3.8122222222222217,2.1616666666666666,2.111666666666667,-1.3109734178919366
400,3.5666666666666664,3.16,2.05,-0.8388992183512468
410,3.3366666666666664,2.025,1.925,-1.1543285718402645
420,3.6033333333333335,2.305,2.3600000000000003,-1.305440285571914
425,3.76,1.915,2.685,-1.6623820627300216
430,3.867222222222222,2.1508333333333334,2.3241666666666667,-1.394444800746477
500,3.186666666666667,1.93,1.44,-0.8660985490663153
510,3.4066666666666667,2.715,1.925,-0.8818683104612974
520,3.0866666666666664,2.595,2.015,-0.8741244387707728
530,3.683333333333333,2.615,1.87,-0.9684924726452612
540,3.47,2.8525,3.1225,-1.3265119799563023
565,3.6123809523809527,2.483571428571429,2.406428571428571,-1.2248461151770929
600,3.96,2.21,1.23,-0.7902656791210537
630,2.931111111111111,2.5450000000000004,2.268333333333333,-0.93989689781188
640,3.59,2.43,2.095,-1.1298144985218317
650,3.926666666666667,1.805,1.875,-1.405838957192861
700,3.883333333333333,2.546666666666667,2.0766666666666667,-1.1496699859181347
710,4.306666666666667,1.925,1.645,-1.3029786261639338
725,3.7466666666666666,2.255,2.5250000000000004,-1.4339576455701168
726,4.026666666666666,2.025,2.035,-1.397865022174615
