STATEFIP,YEAR,QUARTER,bartik_shock
1,1997,1,0.02521398186713286
1,1997,2,0.02655498895751382
1,1997,3,0.025473128549987366
1,1997,4,0.026703373885475275
1,1998,1,0.02839791023215778
1,1998,2,0.027051213402750355
1,1998,3,0.025324474731104607
1,1998,4,0.023278078803682038
1,1999,1,0.023622328993089987
1,1999,2,0.02241577077132851
1,1999,3,0.02150257467129039
1,1999,4,0.023829530134894233
1,2000,1,0.023173470866787834
1,2000,2,0.021904869002121158
1,2000,3,0.0182556322338699
1,2000,4,0.01527629223521219
1,2001,1,0.010321877920200966
1,2001,2,0.0012884764090781288
1,2001,3,-0.006431669487004295
1,2001,4,-0.017569100264983865
1,2002,1,-0.021696870243193465
1,2002,2,-0.018172667393151726
1,2002,3,-0.013869338429246895
1,2002,4,-0.008181641188071966
1,2003,1,-0.006751508761118412
1,2003,2,-0.007166213922577492
1,2003,3,-0.005574708669003964
1,2003,4,-0.0022445742977182
1,2004,1,0.0027222127617721257
1,2004,2,0.01024068461370812
1,2004,3,0.014265292565055524
1,2004,4,0.016706199258541457
1,2005,1,0.0172549916757757
1,2005,2,0.017451374033084922
1,2005,3,0.01921359956683972
1,2005,4,0.020097509945244462
1,2006,1,0.023112544601446117
1,2006,2,0.019466385218535935
1,2006,3,0.0172202990971849
1,2006,4,0.013339368389094301
1,2007,1,0.009664827118912388
1,2007,2,0.009640144727994841
1,2007,3,0.008793532694152999
1,2007,4,0.0068438409829985865
1,2008,1,0.0017483040336342683
1,2008,2,-0.00626485407902488
1,2008,3,-0.010482344623486779
1,2008,4,-0.023350291158544697
1,2009,1,-0.03946285749963017
1,2009,2,-0.05429230187985191
1,2009,3,-0.06080581559644816
1,2009,4,-0.04794754324290958
1,2010,1,-0.03162930744277019
1,2010,2,-0.011579664193024575
1,2010,3,-0.0024174802972445984
1,2010,4,0.0058464524021929485
1,2011,1,0.011903825405122515
1,2011,2,0.014634214485731389
1,2011,3,0.018069649843895426
1,2011,4,0.017863886024479105
1,2012,1,0.020982823220665615
1,2012,2,0.02044154767442364
1,2012,3,0.019265342151232285
1,2012,4,0.01721884976329503
1,2013,1,0.014753498996064037
1,2013,2,0.01592194630766835
1,2013,3,0.017887543551628988
1,2013,4,0.019516000740392534
1,2014,1,0.017017362945095833
1,2014,2,0.01962344869956703
1,2014,3,0.021512808958360222
1,2014,4,0.022155846347427198
1,2015,1,0.02329204825690713
1,2015,2,0.02204476452054194
1,2015,3,0.020878453211613385
1,2015,4,0.02085613942028212
1,2016,1,0.019034355861167137
1,2016,2,0.015530322536116515
1,2016,3,0.01564548412870971
1,2016,4,0.015974711499967816
1,2017,1,0.016071935093967305
1,2017,2,0.015283168214079683
1,2017,3,0.013800737108032741
1,2017,4,0.014215163187535665
1,2018,1,0.015917369738293066
1,2018,2,0.018296483956915185
1,2018,3,0.017615369438964912
1,2018,4,0.016668378882982542
1,2019,1,0.01459854325893978
1,2019,2,0.012612856886236349
1,2019,3,0.011941426851886969
1,2019,4,0.011336289762556583
1,2020,1,0.010220430640109546
1,2020,2,-0.08783239100428238
1,2020,3,-0.05075331729610881
1,2020,4,-0.03984357071687469
1,2021,1,-0.03355258619511801
1,2021,2,0.07187475886027823
1,2021,3,0.03817542111739774
1,2021,4,0.036491943366552
1,2022,1,0.038205901108006354
1,2022,2,0.0380956843579393
1,2022,3,0.03608061398604603
1,2022,4,0.02893636515790081
1,2023,1,0.024260656862114496
1,2023,2,0.019715327467499988
1,2023,3,0.016454793525749946
1,2023,4,0.012908369918127521
1,2024,1,0.011898052852435007
1,2024,2,0.010451028016035663
1,2024,3,0.008857806777439558
1,2024,4,0.007429302745171893
1,2025,1,0.0053623078487210225
1,2025,2,0.003976727593045366
1,2025,3,0.0038290055429896688
1,2025,4,0.0019096014773841746
2,1978,1,0.04969708374064814
2,1978,2,0.057699408790952166
2,1978,3,0.05316936915579324
2,1978,4,0.05485854312715448
2,1979,1,0.058459431052517954
2,1979,2,0.03944467680816828
2,1979,3,0.03687158926464339
2,1979,4,0.03325385868574515
2,1980,1,0.028823037231735422
2,1980,2,0.018586606198561093
2,1980,3,0.010646138473076588
2,1980,4,0.011812202851955927
2,1981,1,0.011638853314555947
2,1981,2,0.013300700098648068
2,1981,3,0.01962690572061943
2,1981,4,0.010855868538106016
2,1982,1,0.004492193403851622
2,1982,2,-0.002180048156320057
2,1982,3,-0.01683671207517754
2,1982,4,-0.016449529852563493
2,1983,1,-0.010848852302809704
2,1983,2,-0.0018723883393128374
2,1983,3,0.016440874925762027
2,1983,4,0.036089753570518565
2,1984,1,0.047195416593999846
2,1984,2,0.0543711481840328
2,1984,3,0.055409449800193085
2,1984,4,0.05043719291575538
2,1985,1,0.04289000394855457
2,1985,2,0.0411652511316297
2,1985,3,0.037406708770368835
2,1985,4,0.03402810570634234
2,1986,1,0.030147398583156088
2,1986,2,0.023374216616655417
2,1986,3,0.020711863163885014
2,1986,4,0.019174601363566402
2,1987,1,0.02143293133010913
2,1987,2,0.029536819942871956
2,1987,3,0.0321257584652543
2,1987,4,0.03469445153300651
2,1988,1,0.036215571466578195
2,1988,2,0.036460816858375565
2,1988,3,0.03602176356030404
2,1988,4,0.0339820803591059
2,1989,1,0.03403203906846368
2,1989,2,0.030061584343685492
2,1989,3,0.026140341495366093
2,1989,4,0.024620851052722548
2,1990,1,0.024777846767342362
2,1990,2,0.022262431465901365
2,1990,3,0.015903535923099416
2,1990,4,0.009253788136433398
2,1991,1,0.0004198438298237849
2,1991,2,-0.008139078707863344
2,1991,3,-0.010334112671063102
2,1991,4,-0.008346287538676335
2,1992,1,-0.002457805232423979
2,1992,2,0.0017891479192230519
2,1992,3,0.002263083470058014
2,1992,4,0.009337213503445121
2,1993,1,0.017010729294458005
2,1993,2,0.01950759105533101
2,1993,3,0.024679204756578844
2,1993,4,0.028852145150775835
2,1994,1,0.029856756547486363
2,1994,2,0.03257869143665896
2,1994,3,0.035839186234997836
2,1994,4,0.03814224548664185
2,1995,1,0.03670181020842179
2,1995,2,0.030150519438412685
2,1995,3,0.024280819772414062
2,1995,4,0.0220144375026428
2,1996,1,0.020264314244306723
2,1996,2,0.0239571190197699
2,1996,3,0.02631100180024192
2,1996,4,0.02652024226048927
2,1997,1,0.02787544929197492
2,1997,2,0.028543090887077197
2,1997,3,0.02703897715326915
2,1997,4,0.029516647525669303
2,1998,1,0.02918429908614145
2,1998,2,0.027579301224356777
2,1998,3,0.02996027819394959
2,1998,4,0.02616580773053553
2,1999,1,0.027697064598235486
2,1999,2,0.02918021016606791
2,1999,3,0.028526448343041935
2,1999,4,0.028897290050399968
2,2000,1,0.027289739739841556
2,2000,2,0.026307529806197796
2,2000,3,0.022677271139999886
2,2000,4,0.01850426823552654
2,2001,1,0.014876803950863179
2,2001,2,0.008872683067821567
2,2001,3,0.004659327928899605
2,2001,4,-0.0026875532351990977
2,2002,1,-0.00809567229569919
2,2002,2,-0.005800754737942664
2,2002,3,-0.005553740606849324
2,2002,4,0.0011354981817184662
2,2003,1,0.00035213733402733214
2,2003,2,0.0006697477309246811
2,2003,3,0.0015666424194966618
2,2003,4,0.005234330189127075
2,2004,1,0.008317559298947091
2,2004,2,0.014648616588017183
2,2004,3,0.017441888359570123
2,2004,4,0.01900285767130526
2,2005,1,0.01937490413984965
2,2005,2,0.019844428670880196
2,2005,3,0.023965066969240324
2,2005,4,0.024790694087399517
2,2006,1,0.026725637290238722
2,2006,2,0.024112732700168345
2,2006,3,0.021162753443436363
2,2006,4,0.0190924395482679
2,2007,1,0.017153737032892028
2,2007,2,0.015011556377361752
2,2007,3,0.01221125461093724
2,2007,4,0.011782477578957253
2,2008,1,0.00893831341057085
2,2008,2,-0.0002673503518968032
2,2008,3,-0.005300960525278202
2,2008,4,-0.01864824907862882
2,2009,1,-0.035627787794280115
2,2009,2,-0.05135964698206569
2,2009,3,-0.05614611356083211
2,2009,4,-0.047165228405801486
2,2010,1,-0.027999541984003284
2,2010,2,-0.008778822551300147
2,2010,3,-0.0008718130081014243
2,2010,4,0.008899980641020443
2,2011,1,0.012218826400267628
2,2011,2,0.014382572577826182
2,2011,3,0.018568090216870885
2,2011,4,0.0191414577146392
2,2012,1,0.023670646063306492
2,2012,2,0.019138343654483258
2,2012,3,0.017515347319749176
2,2012,4,0.017131122119543513
2,2013,1,0.015783895877730887
2,2013,2,0.016955440573383274
2,2013,3,0.01821009486236444
2,2013,4,0.0195380798671034
2,2014,1,0.018451567021135262
2,2014,2,0.01954613347630037
2,2014,3,0.022697207248223085
2,2014,4,0.02400398681469476
2,2015,1,0.024284126295798104
2,2015,2,0.022233146795164974
2,2015,3,0.020528460676149628
2,2015,4,0.017303851179406474
2,2016,1,0.015757557200978118
2,2016,2,0.014145165862826476
2,2016,3,0.015087570365706847
2,2016,4,0.01302719449632372
2,2017,1,0.01558481177482459
2,2017,2,0.018059605391493896
2,2017,3,0.016859803184669644
2,2017,4,0.016537585888182285
2,2018,1,0.015857520622702376
2,2018,2,0.019729687044551678
2,2018,3,0.017876647772923325
2,2018,4,0.016801742079908363
2,2019,1,0.015875777531325172
2,2019,2,0.01377118215065986
2,2019,3,0.012790873447390562
2,2019,4,0.011793839013732332
2,2020,1,0.011249099381706342
2,2020,2,-0.08513831652316321
2,2020,3,-0.051555629917546995
2,2020,4,-0.0436390800948437
2,2021,1,-0.038370308392261854
2,2021,2,0.07194084690751108
2,2021,3,0.04071460402054532
2,2021,4,0.03837341231034876
2,2022,1,0.03958466651248613
2,2022,2,0.0382526441404141
2,2022,3,0.03746736492748358
2,2022,4,0.030859824273910808
2,2023,1,0.025965993031920435
2,2023,2,0.021654559290468472
2,2023,3,0.01797272362344919
2,2023,4,0.01729206580977397
2,2024,1,0.015241117714980676
2,2024,2,0.01497846005861687
2,2024,3,0.010921451969470657
2,2024,4,0.011718392032222271
2,2025,1,0.009354732924543193
2,2025,2,0.007536195679968039
2,2025,3,0.005518858973440508
2,2025,4,0.002614485877707843
4,1978,1,0.04609151223254125
4,1978,2,0.054564225598113615
4,1978,3,0.050269757567355466
4,1978,4,0.05258103955715085
4,1979,1,0.05579503487457352
4,1979,2,0.04376070914303152
4,1979,3,0.03657231524723646
4,1979,4,0.03187627771062495
4,1980,1,0.027677845741739655
4,1980,2,0.011265276308934348
4,1980,3,0.002624642323632806
4,1980,4,0.004629527021641764
4,1981,1,0.008754667767891695
4,1981,2,0.015900158994918267
4,1981,3,0.021956609772954046
4,1981,4,0.011468983499876831
4,1982,1,-0.0007375234438284353
4,1982,2,-0.00955715524072474
4,1982,3,-0.023630095324128658
4,1982,4,-0.026548460074779727
4,1983,1,-0.01529447671213228
4,1983,2,-0.0022187576743126726
4,1983,3,0.017426317298080085
4,1983,4,0.03976165188363394
4,1984,1,0.05310786789292989
4,1984,2,0.058133067464858246
4,1984,3,0.05545747195483014
4,1984,4,0.05140618729895928
4,1985,1,0.04516791478564078
4,1985,2,0.04224652189908561
4,1985,3,0.03687905981126052
4,1985,4,0.03284561935337415
4,1986,1,0.027879648107148953
4,1986,2,0.024479458461811873
4,1986,3,0.02384186869513624
4,1986,4,0.02004592966559206
4,1987,1,0.025423779328193317
4,1987,2,0.029662938606156836
4,1987,3,0.03138399645874381
4,1987,4,0.03358708003976573
4,1988,1,0.03426035871946328
4,1988,2,0.03577125283812315
4,1988,3,0.035733141723443856
4,1988,4,0.03307321883919846
4,1989,1,0.034192339871028134
4,1989,2,0.02923657413135322
4,1989,3,0.026282866875813514
4,1989,4,0.021881842269870378
4,1990,1,0.020089143120354192
4,1990,2,0.016266451830463158
4,1990,3,0.009335457996219189
4,1990,4,0.0035434448193601346
4,1991,1,-0.004747341809489354
4,1991,2,-0.012999122179700392
4,1991,3,-0.015263801536781337
4,1991,4,-0.011689255910935089
4,1992,1,-0.005190410479713487
4,1992,2,0.0007374930150071201
4,1992,3,0.004294050324963911
4,1992,4,0.009728973057144331
4,1993,1,0.015445853104858218
4,1993,2,0.019748386699152937
4,1993,3,0.024953014749035666
4,1993,4,0.028888415413637375
4,1994,1,0.029669565628679086
4,1994,2,0.03452874986751147
4,1994,3,0.037082125013800524
4,1994,4,0.0385011164059738
4,1995,1,0.03902247002769242
4,1995,2,0.029998301505636937
4,1995,3,0.025052812668177625
4,1995,4,0.02208553697832734
4,1996,1,0.02003565668300188
4,1996,2,0.02488945077877864
4,1996,3,0.027625565954553084
4,1996,4,0.02828607827428372
4,1997,1,0.03054145818783814
4,1997,2,0.030751102817532724
4,1997,3,0.028913129869233396
4,1997,4,0.030396571275916526
4,1998,1,0.03128736443503534
4,1998,2,0.030734253388838607
4,1998,3,0.029647519486232215
4,1998,4,0.028482073831122615
4,1999,1,0.026534207305264304
4,1999,2,0.02765602687496172
4,1999,3,0.026299407762576072
4,1999,4,0.027808074667708307
4,2000,1,0.026354940822459632
4,2000,2,0.023699608194991246
4,2000,3,0.019956849056498863
4,2000,4,0.016255696455255656
4,2001,1,0.011977766596527727
4,2001,2,0.003930021312394644
4,2001,3,-0.00235577944637796
4,2001,4,-0.009191709363986132
4,2002,1,-0.01205321714595325
4,2002,2,-0.016190087366133123
4,2002,3,-0.009687437139549502
4,2002,4,-0.0020411127324443746
4,2003,1,-0.0009289966633000633
4,2003,2,-0.003632413889000126
4,2003,3,-0.002362589074817402
4,2003,4,0.0017045488036534116
4,2004,1,0.006117676309548482
4,2004,2,0.012229079482239887
4,2004,3,0.015272900441456903
4,2004,4,0.017647515063622606
4,2005,1,0.018388404218157076
4,2005,2,0.018648270223347585
4,2005,3,0.02224166062714477
4,2005,4,0.022231688349436514
4,2006,1,0.02378264058307416
4,2006,2,0.02146644470540254
4,2006,3,0.01870520206073747
4,2006,4,0.01560156753843931
4,2007,1,0.012470783347880493
4,2007,2,0.011023142542439851
4,2007,3,0.008982519699365404
4,2007,4,0.006657869733188451
4,2008,1,0.003030111752497792
4,2008,2,-0.005065209043278253
4,2008,3,-0.012943884007229014
4,2008,4,-0.02921247847909393
4,2009,1,-0.04773442873958877
4,2009,2,-0.060451210293270795
4,2009,3,-0.060407559067236
4,2009,4,-0.04734355036791045
4,2010,1,-0.030836845592271483
4,2010,2,-0.011274149247072957
4,2010,3,-0.00019912500091339626
4,2010,4,0.008302049020646272
4,2011,1,0.013386353456606442
4,2011,2,0.013788514207015143
4,2011,3,0.01781719986597714
4,2011,4,0.018472984985683942
4,2012,1,0.023667361780072758
4,2012,2,0.020466295777064866
4,2012,3,0.018988088082693044
4,2012,4,0.018648633712014365
4,2013,1,0.015187489806535184
4,2013,2,0.018597683395168294
4,2013,3,0.019099211939716833
4,2013,4,0.019985185873093073
4,2014,1,0.01939939362843633
4,2014,2,0.02080351997101398
4,2014,3,0.022156957420566743
4,2014,4,0.02235299522535617
4,2015,1,0.024074954568093557
4,2015,2,0.023407195386309268
4,2015,3,0.022105085836234425
4,2015,4,0.021829572086245842
4,2016,1,0.019949207517900927
4,2016,2,0.018541675115956103
4,2016,3,0.017832190823521592
4,2016,4,0.01651826498066024
4,2017,1,0.017238429838914302
4,2017,2,0.01722875196541517
4,2017,3,0.014891927679323312
4,2017,4,0.014543366856884427
4,2018,1,0.015336729163186468
4,2018,2,0.017284495834212245
4,2018,3,0.016179932429689715
4,2018,4,0.016673091217407992
4,2019,1,0.014929611087076624
4,2019,2,0.012754155980512551
4,2019,3,0.0133886836908722
4,2019,4,0.01235252040226362
4,2020,1,0.00986499813545734
4,2020,2,-0.09335498487858046
4,2020,3,-0.05177141747128543
4,2020,4,-0.03927226971333844
4,2021,1,-0.03515468003810909
4,2021,2,0.07640964074162818
4,2021,3,0.039183330376397534
4,2021,4,0.035616251770710046
4,2022,1,0.04151836753414277
4,2022,2,0.04200337600761184
4,2022,3,0.03862835912095758
4,2022,4,0.03135355673625106
4,2023,1,0.02373135402912212
4,2023,2,0.020161554610846642
4,2023,3,0.015300988485383863
4,2023,4,0.013553307138539535
4,2024,1,0.011348343657990097
4,2024,2,0.011631057503175701
4,2024,3,0.00945635610129926
4,2024,4,0.008783515749219439
4,2025,1,0.008465553951080283
4,2025,2,0.006379594781298507
4,2025,3,0.004401793864858291
4,2025,4,0.0038405185492645455
5,1978,1,0.04555891374999985
5,1978,2,0.051973045296633436
5,1978,3,0.048385756541488065
5,1978,4,0.05034170527776302
5,1979,1,0.05099064059543971
5,1979,2,0.03994255295126979
5,1979,3,0.034109288892127
5,1979,4,0.026413081514787762
5,1980,1,0.02016664667926099
5,1980,2,0.0044167567395102195
5,1980,3,-0.005201160087494605
5,1980,4,0.0019443822381928037
5,1981,1,0.0018828229081316616
5,1981,2,0.014107752379491287
5,1981,3,0.01953126292216751
5,1981,4,0.007261324092259533
5,1982,1,-0.004270567283304595
5,1982,2,-0.015349302827643668
5,1982,3,-0.024352673974363824
5,1982,4,-0.025678337868205857
5,1983,1,-0.01638130484197247
5,1983,2,-0.00057789259984031
5,1983,3,0.019234603339885706
5,1983,4,0.040412688416076196
5,1984,1,0.05323225216173848
5,1984,2,0.05568630096329824
5,1984,3,0.054074739857907415
5,1984,4,0.049836721553208924
5,1985,1,0.04080078782048785
5,1985,2,0.035678974338520845
5,1985,3,0.03116051734055239
5,1985,4,0.026219202634868734
5,1986,1,0.026108669965157337
5,1986,2,0.021700374384078697
5,1986,3,0.020198373189043127
5,1986,4,0.019394638275234348
5,1987,1,0.023450787878781885
5,1987,2,0.02567036485859882
5,1987,3,0.029426050661162575
5,1987,4,0.032201912793989367
5,1988,1,0.03272028536677314
5,1988,2,0.03507513045984026
5,1988,3,0.03403459102783881
5,1988,4,0.030454826111687417
5,1989,1,0.030969641574385535
5,1989,2,0.028316294840608068
5,1989,3,0.02344116427249763
5,1989,4,0.01804761637407439
5,1990,1,0.017815261821877277
5,1990,2,0.013090342175611126
5,1990,3,0.007626430901354618
5,1990,4,0.0017922196086307247
5,1991,1,-0.0062870366749988495
5,1991,2,-0.014963895325872528
5,1991,3,-0.01404093352366535
5,1991,4,-0.011251015195275825
5,1992,1,-0.006161515123065326
5,1992,2,0.0008031384618121002
5,1992,3,0.001140715873456892
5,1992,4,0.005725379839535437
5,1993,1,0.014269520487807219
5,1993,2,0.01696730420952715
5,1993,3,0.0214741573508389
5,1993,4,0.025399503395082974
5,1994,1,0.026365546160756148
5,1994,2,0.03138541673692885
5,1994,3,0.03465521906705772
5,1994,4,0.03482504968968833
5,1995,1,0.03459840626223085
5,1995,2,0.029727553713075804
5,1995,3,0.02372794140370564
5,1995,4,0.01916113368144677
5,1996,1,0.016317882168947768
5,1996,2,0.01956833220817485
5,1996,3,0.023007549903657196
5,1996,4,0.024909136320271467
5,1997,1,0.02590233875944751
5,1997,2,0.026102129929395156
5,1997,3,0.02530083799375041
5,1997,4,0.027632340323586475
5,1998,1,0.028370711321704614
5,1998,2,0.0266382028965454
5,1998,3,0.025045197935666685
5,1998,4,0.02343458655123995
5,1999,1,0.023034584848454217
5,1999,2,0.02354579977188493
5,1999,3,0.020958811607696498
5,1999,4,0.02167640757390949
5,2000,1,0.021952209979045945
5,2000,2,0.020548962851770037
5,2000,3,0.017559275200006372
5,2000,4,0.013498341457612893
5,2001,1,0.009340406483842632
5,2001,2,0.0016030251463824447
5,2001,3,-0.007235439225554332
5,2001,4,-0.014586931272947445
5,2002,1,-0.017615149676730637
5,2002,2,-0.015778340060169566
5,2002,3,-0.012004126855219635
5,2002,4,-0.007338291836280434
5,2003,1,-0.0058115931873267464
5,2003,2,-0.006509234575598983
5,2003,3,-0.005941837263270334
5,2003,4,-0.0015940433989214482
5,2004,1,0.002665560200343082
5,2004,2,0.010434028521951681
5,2004,3,0.01375246978834107
5,2004,4,0.015385588739376514
5,2005,1,0.015958879420705428
5,2005,2,0.015947650285079377
5,2005,3,0.018317745304475618
5,2005,4,0.01886407604689628
5,2006,1,0.02115039747106718
5,2006,2,0.018939134410185444
5,2006,3,0.015975840057496526
5,2006,4,0.014665775521040229
5,2007,1,0.010393514860089725
5,2007,2,0.008618527638546505
5,2007,3,0.007831238747234497
5,2007,4,0.007428750358130379
5,2008,1,0.004155568410204147
5,2008,2,-0.005158868806961063
5,2008,3,-0.011467195735849851
5,2008,4,-0.022885463491473645
5,2009,1,-0.03800611109683422
5,2009,2,-0.05573752446881412
5,2009,3,-0.06080925163343962
5,2009,4,-0.05114210128280991
5,2010,1,-0.03289196015544603
5,2010,2,-0.01157033025814275
5,2010,3,0.00035463689769165774
5,2010,4,0.008808344494699884
5,2011,1,0.012056478535035699
5,2011,2,0.013461048117633068
5,2011,3,0.017814728998767418
5,2011,4,0.018812983564541797
5,2012,1,0.021768495026623983
5,2012,2,0.01804197278883879
5,2012,3,0.017355012677085745
5,2012,4,0.017367245159584585
5,2013,1,0.016103474371742334
5,2013,2,0.015892731206866236
5,2013,3,0.01816365740155559
5,2013,4,0.01792108178607503
5,2014,1,0.017146062953229638
5,2014,2,0.019480714854102927
5,2014,3,0.02097698230564796
5,2014,4,0.0220683552937469
5,2015,1,0.024007941492608976
5,2015,2,0.022577827952546658
5,2015,3,0.021907557817057645
5,2015,4,0.02130144058018666
5,2016,1,0.01941146725667487
5,2016,2,0.018299279510525835
5,2016,3,0.01892555360685598
5,2016,4,0.01746381907745859
5,2017,1,0.01689566552904686
5,2017,2,0.01635059983936917
5,2017,3,0.015329701193072587
5,2017,4,0.015010520122876316
5,2018,1,0.015054607037147144
5,2018,2,0.017656112788013715
5,2018,3,0.017026259655817635
5,2018,4,0.015951428842015503
5,2019,1,0.013767857979526558
5,2019,2,0.012289795607194572
5,2019,3,0.012222485351453111
5,2019,4,0.01128224993831781
5,2020,1,0.010654270871114037
5,2020,2,-0.08717986023768047
5,2020,3,-0.04833781604862996
5,2020,4,-0.0364390191139969
5,2021,1,-0.03297103815876344
5,2021,2,0.07620425686074028
5,2021,3,0.03809708273010865
5,2021,4,0.03471305401029899
5,2022,1,0.0390589086342535
5,2022,2,0.03830417264202554
5,2022,3,0.035941591771165196
5,2022,4,0.028996483488617837
5,2023,1,0.02411311801665259
5,2023,2,0.020341614937275473
5,2023,3,0.01687896401257232
5,2023,4,0.014746595954308498
5,2024,1,0.014034419914937386
5,2024,2,0.012027151534706024
5,2024,3,0.010186402606819751
5,2024,4,0.009352384284731709
5,2025,1,0.008495826185925226
5,2025,2,0.006049351548939894
5,2025,3,0.0050686575457039775
5,2025,4,0.0038058775408304256
6,1977,1,0.04202424557112906
6,1977,2,0.06220201432138026
6,1977,3,0.05640926168780756
6,1977,4,0.07961976749258667
6,1978,1,0.07649218001363053
6,1978,2,0.0668978127739775
6,1978,3,0.08158181591444787
6,1978,4,0.06547120418127922
6,1979,1,0.05309596529703066
6,1979,2,0.04118792058723357
6,1979,3,0.03251424455534617
6,1979,4,0.02734810462939208
6,1980,1,0.021457690918284453
6,1980,2,0.004564560575356251
6,1980,3,-0.0025235424636338207
6,1980,4,0.002519722812352326
6,1981,1,0.004470558539845013
6,1981,2,0.016463467949077548
6,1981,3,0.02329106800625729
6,1981,4,0.008626920553624493
6,1982,1,-0.003717261449524195
6,1982,2,-0.015076257029480495
6,1982,3,-0.02376356814602165
6,1982,4,-0.02525858555994709
6,1983,1,-0.0143417975873089
6,1983,2,0.0009226851014243488
6,1983,3,0.019668445513592283
6,1983,4,0.041216109882838706
6,1984,1,0.05488910403306522
6,1984,2,0.05850731313078295
6,1984,3,0.05406415118784108
6,1984,4,0.04913533305589101
6,1985,1,0.03975054713134185
6,1985,2,0.03688498984511771
6,1985,3,0.03398515735326005
6,1985,4,0.03145626276944731
6,1986,1,0.025898765291071275
6,1986,2,0.019951669133063406
6,1986,3,0.01952590028037273
6,1986,4,0.018858678600068898
6,1987,1,0.023664518281536758
6,1987,2,0.026534703602639802
6,1987,3,0.029083388103880545
6,1987,4,0.031535888488677555
6,1988,1,0.03191861169223033
6,1988,2,0.03515661527715866
6,1988,3,0.03556250878892757
6,1988,4,0.032053312083378686
6,1989,1,0.03466428757787063
6,1989,2,0.029758627025758728
6,1989,3,0.024264612289015355
6,1989,4,0.024347984583831018
6,1990,1,0.014013144992830245
6,1990,2,0.008531093570036362
6,1990,3,0.004409990067359591
6,1990,4,-9.424210616666777e-06
6,1991,1,-0.0061170630492881
6,1991,2,-0.010258763016612476
6,1991,3,-0.01381371935547329
6,1991,4,-0.012322440529745803
6,1992,1,-0.004594117534946589
6,1992,2,0.0013965782436154868
6,1992,3,0.0052232761763209195
6,1992,4,0.014120659015567224
6,1993,1,0.019431660842993956
6,1993,2,0.021712897765736473
6,1993,3,0.027565351237991555
6,1993,4,0.02967064850434671
6,1994,1,0.03020272435812282
6,1994,2,0.0362920616361595
6,1994,3,0.03915831104899101
6,1994,4,0.03894353468881047
6,1995,1,0.042469618199186196
6,1995,2,0.03539241019465413
6,1995,3,0.026579494113909648
6,1995,4,0.022502600647961134
6,1996,1,0.019786324111453986
6,1996,2,0.02414367618203965
6,1996,3,0.02607259215541427
6,1996,4,0.027838342040669328
6,1997,1,0.027358853777540194
6,1997,2,0.027331295050850673
6,1997,3,0.027749576555210022
6,1997,4,0.02866137328313029
6,1998,1,0.029510153980470057
6,1998,2,0.025516602927088388
6,1998,3,0.028624575793349046
6,1998,4,0.027901508016498384
6,1999,1,0.025263400987645117
6,1999,2,0.025501106159958143
6,1999,3,0.024099339585234525
