onet_soc,abstract,routine,manual,rti
27-4011.00,3.68,3.275,3.4250000000000003,-1.3476963548078131
27-4012.00,3.266666666666667,2.6550000000000002,3.1550000000000002,-1.356313938307691
27-4014.00,3.67,2.385,3.06,-1.5494074536904638
27-4021.00,3.4233333333333333,2.25,2.98,-1.5116078195733413
27-4031.00,3.34,2.785,3.3200000000000003,-1.3816877165377588
27-4032.00,3.896666666666667,1.9749999999999999,2.255,-1.4927030614174241
29-1011.00,3.5833333333333335,2.695,2.92,-1.3564788778247923
29-1021.00,3.5933333333333337,3.02,3.165,-1.3259765010221027
29-1022.00,3.9233333333333333,2.275,2.8449999999999998,-1.5905246477794561
29-1023.00,3.3000000000000003,2.925,3.0700000000000003,-1.2423055493877206
29-1024.00,4.19,2.685,3.6900000000000004,-1.7506464640256545
29-1031.00,3.8000000000000003,1.8,1.3900000000000001,-1.0765181489728217
29-1041.00,4.086666666666667,2.6500000000000004,2.8899999999999997,-1.4944265039661655
29-1051.00,3.3066666666666666,3.0100000000000002,2.29,-0.9225523714340355
29-1071.00,4.06,2.16,2.39,-1.502368117860987
29-1071.01,3.4566666666666666,3.0700000000000003,2.9699999999999998,-1.2071891247888284
29-1081.00,3.58,2.2350000000000003,3.165,-1.623274627943216
29-1122.00,3.926666666666667,1.84,2.605,-1.715457993139767
29-1122.01,3.533333333333333,1.52,2.66,-1.8218575003853343
29-1123.00,3.723333333333333,2.45,2.695,-1.4099295042173243
29-1124.00,3.5366666666666666,4.24,3.7649999999999997,-1.1443692559657725
29-1125.00,3.4599999999999995,1.935,2.6799999999999997,-1.5669780571106526
29-1126.00,3.44,2.795,3.245,-1.384754714934298
29-1127.00,3.983333333333333,2.045,1.99,-1.3548558389510459
29-1128.00,3.8033333333333332,2.18,2.1100000000000003,-1.3032409458928522
29-1129.01,4.083333333333333,1.71,2.48,-1.7786788379849487
29-1129.02,3.8433333333333337,1.94,2.615,-1.6449161700545076
29-1131.00,3.486666666666667,2.405,2.825,-1.409904631009347
29-1141.00,3.9633333333333334,2.685,2.71,-1.3863533289653622
29-1141.01,3.776666666666667,2.69,2.55,-1.2753939519283923
29-1141.02,4.146666666666667,2.175,1.7349999999999999,-1.1962835475010989
29-1141.03,3.8433333333333333,2.62,2.785,-1.4074136012190999
29-1141.04,3.9499999999999997,2.14,2.375,-1.477907187365875
29-1151.00,3.9666666666666663,3.0,3.2300000000000004,-1.4517959600158294
29-1161.00,3.84,2.09,2.585,-1.5580338085833083
29-1171.00,3.9866666666666664,2.33,2.4749999999999996,-1.4433275882974201
29-1181.00,3.8366666666666664,1.82,2.655,-1.7222120876708795
29-1211.00,3.8299999999999996,2.885,3.02,-1.38859673461927
29-1213.00,3.3733333333333335,1.7550000000000001,2.32,-1.4949997039515992
29-1214.00,4.21,2.4,2.63,-1.5289777565300633
29-1215.00,3.66,1.905,2.425,-1.538812663224057
29-1216.00,3.936666666666666,2.66,2.66,-1.370334341541161
29-1217.00,4.336666666666667,2.23,1.79,-1.2473200382369405
29-1218.00,3.983333333333333,2.21,2.9450000000000003,-1.6692352912832988
29-1221.00,3.1833333333333336,1.85,2.51,-1.463025979877988
