YEAR,MONTH,mean_abstract,mean_routine,mean_manual,mean_rti,total_employed,n_obs,share_NRC,share_RC,share_NRM,share_RM,share_routine,date,recession
1976,1,3.17446059118734,2.6688480547617646,2.917449230093238,-1.2061978292728457,84656426.91999999,51264.0,0.29308781592503347,0.24298422799533861,0.14020938919636608,0.323718566883262,0.5667027948786006,1976-01-01,0.0
1976,2,3.17707572491801,2.671448907914285,2.9140445064031164,-1.20513247628962,84924174.69,51137.0,0.29409018104877627,0.2434192031357379,0.14036912320330966,0.32212149261217626,0.5655406957479142,1976-02-01,
1976,3,3.1771898311790947,2.6691208345975075,2.9178650940503243,-1.2074072826005888,85760556.15,51398.0,0.296615548358941,0.24198349732833443,0.13923752930326583,0.3221634250094587,0.5641469223377932,1976-03-01,
1976,4,3.1732837924692294,2.673473690665516,2.9281970188075483,-1.2081248179992055,86788389.68,52593.0,0.28961448049303173,0.24245283865255374,0.1417922900214364,0.326140390832978,0.5685932294855317,1976-04-01,0.0
1976,5,3.1701844985216243,2.673819714215231,2.9380664224913473,-1.210682341146857,87387797.61,52951.0,0.28984513699543735,0.23923546561159298,0.1415477028635463,0.3293716945294234,0.5686071601410165,1976-05-01,
1976,6,3.1626354930686427,2.6818513095951384,2.957934874874903,-1.2115243208899575,88564047.97999999,53916.0,0.28065171530566263,0.23787288804546808,0.1422719838059507,0.3392034128429187,0.5770763008883868,1976-06-01,
1976,7,3.1591303494558103,2.6830601719380045,2.9626014176061126,-1.2113769419587073,89743823.10000001,54201.0,0.2750177947344434,0.2365931952368541,0.14852294753643047,0.3398660624922719,0.5764592577291261,1976-07-01,0.0
1976,8,3.1621446378028963,2.678885422175784,2.956788331969368,-1.211650816874727,89362032.84,53837.0,0.27996876777406127,0.23485723973599792,0.14732701899891112,0.3378469734910296,0.5727042132270276,1976-08-01,
1976,9,3.1762556789073186,2.668498838159212,2.931883829051841,-1.2115732709186031,88073443.72,53148.0,0.293478562416317,0.23578980510880385,0.13979402575811983,0.33093760671675937,0.5667274118255632,1976-09-01,
1976,10,3.1715419486875467,2.672997723507947,2.931901471688296,-1.2089313950929526,88831089.97999999,53943.0,0.2906121672695027,0.24022975474920547,0.13808746073882183,0.3310706172424701,0.5713003719916756,1976-10-01,0.0
1976,11,3.175391460042257,2.6701690131510154,2.9232840586767757,-1.2084180085864702,88760033.01,53886.0,0.29409627807437877,0.24152713212245794,0.13716190031867587,0.3272146894844874,0.5687418216069453,1976-11-01,
1976,12,3.1720765514459215,2.6707702792032664,2.919334470416722,-1.2063036080591263,88614559.50999999,53918.0,0.29014989807739777,0.24839168599056322,0.13610966591374754,0.3253487500182915,0.5737404360088547,1976-12-01,
1977,1,3.176880801436302,2.6735408122741693,2.9140353387419617,-1.2045302181794948,87090494.68,62071.0,0.2956798907404333,0.2461891984380384,0.1332364524033341,0.32489445841819414,0.5710836568562325,1977-01-01,0.0
1977,2,3.1760075617165278,2.6685128824991473,2.91426452156803,-1.2062070277462196,87241726.75999999,52621.0,0.2933834459789182,0.24435913457612085,0.13736112597778666,0.32489629346717436,0.5692554280432953,1977-02-01,
1977,3,3.173318229539911,2.6695558141231133,2.9207782611476327,-1.2069880912397681,88225818.83,52815.0,0.2912909520579291,0.24213649868624115,0.14044520543891476,0.3261273438169151,0.5682638425031562,1977-03-01,
1977,4,3.170792535065094,2.6716643090036176,2.931093783674938,-1.2088968024963282,89392735.47,53815.0,0.2879358536012422,0.24314427106906292,0.14046752494392872,0.32845235038576615,0.571596621454829,1977-04-01,0.0
1977,5,3.1706874863113788,2.6721959668191246,2.9429835460746236,-1.212422138481958,90481508.52000001,64277.0,0.28842162411816513,0.23617095403837765,0.1419049087489727,0.3335025130944843,0.569673467132862,1977-05-01,
1977,6,3.160463291618342,2.678347795510513,2.9601433621566686,-1.2124878830699513,92095823.31,65190.0,0.27920772892648565,0.2349226235501906,0.14637851072379973,0.339491136799524,0.5744137603497146,1977-06-01,
1977,7,3.162416940654452,2.6803015472867737,2.958424934364203,-1.2113597004049836,92517305.38,55381.0,0.2757095628242778,0.23739890455940563,0.14750131971472255,0.33939021290159416,0.5767891174609997,1977-07-01,0.0
1977,8,3.1643077625428058,2.6810609063225104,2.9560355495818498,-1.2113321288198213,92736148.26,65390.0,0.27755058057659293,0.23686390433658497,0.14576146113058328,0.33982405395623877,0.5766879582928237,1977-08-01,
1977,9,3.1740630734815047,2.6694648908288316,2.932445193894271,-1.2107568702954776,91528909.75,54775.0,0.29092141720829356,0.2363589932305514,0.13957191815015582,0.33314767141099916,0.5695066646415505,1977-09-01,
1977,10,3.1760575064782066,2.6685383779120455,2.927019636616631,-1.2102578446581735,92227999.35,66059.0,0.2924917373261876,0.23798184992288898,0.13868318341657707,0.3308432293343464,0.5688250792572354,1977-10-01,0.0
1977,11,3.1789869141748253,2.6662915905037616,2.923830713388875,-1.210694252116634,92778238.25,55827.0,0.29276466111383614,0.24167468441878934,0.13740239198818802,0.3281582624791865,0.5698329468979758,1977-11-01,
1977,12,3.1751675626019207,2.66725598762307,2.920716487747157,-1.2083360463709083,92945325.53999999,65613.0,0.2899819246789418,0.24498597726897586,0.13879978326019213,0.32623231479189035,0.5712182920608662,1977-12-01,
1978,1,3.1762826545082614,2.669973399627544,2.9156832098768,-1.205878049841741,91048155.5,63592.0,0.29402323323287977,0.2452736764118192,0.13712067720031954,0.3235824131549815,0.5688560895668008,1978-01-01,0.0
1978,2,3.17809600555351,2.6674821993329076,2.9093193958784376,-1.2047138559830235,91103332.65,63175.0,0.2944311151936767,0.24455549629116669,0.1374640276674884,0.3235493608476681,0.5681048571388349,1978-02-01,
1978,3,3.1766760832864356,2.666583784167689,2.9129354981104,-1.2057780224579717,91992964.35000001,62788.0,0.2934953871828351,0.24488852934762503,0.13766385385536278,0.32395222961417697,0.568840758961802,1978-03-01,
1978,4,3.1726760053695235,2.667988246679549,2.924568886153692,-1.208157864341307,93260142.82,63960.0,0.28968966294791276,0.24153110663228985,0.13990883946192953,0.32887039095786796,0.5704014975901578,1978-04-01,0.0
1978,5,3.172593265095615,2.671316799241558,2.9311138967656944,-1.209460108576834,93903852.32999998,63935.0,0.29040191955243083,0.2388407283993266,0.14104763267277134,0.3297097193754714,0.568550447774798,1978-05-01,
1978,6,3.166487156066258,2.6764011957437046,2.9495848478294797,-1.211509156143277,95999199.17,65273.0,0.2816308366502387,0.237737236219905,0.1432583745375425,0.3373735525923138,0.5751107888122188,1978-06-01,
1978,7,3.166037422095036,2.680208413253119,2.9535004797630022,-1.211264482835784,96458692.72,65790.0,0.27802195036839394,0.23821302198962666,0.14495649532165875,0.33880853232032065,0.5770215543099473,1978-07-01,0.0
1978,8,3.164641445087259,2.6845125134909544,2.9536722145244054,-1.2094764053618217,96333524.41999999,65864.0,0.27764545348597486,0.2375158106071529,0.14422437502131236,0.34061436088555985,0.5781301714927128,1978-08-01,
1978,9,3.1714950721530233,2.680523261881413,2.935782942980735,-1.2071210308575562,95370904.28999999,65546.0,0.2859968188731956,0.24077670491804037,0.1364299069707395,0.3367965692380246,0.5775732741560651,1978-09-01,
1978,10,3.168441581065059,2.6775429830665094,2.9304771806978462,-1.2054389346040335,96494725.82,66674.0,0.2851897029204907,0.24278120830873826,0.13818842570602166,0.33384066306474947,0.5766218713734876,1978-10-01,0.0
