STATEFIP,YEAR,industry,emp_weighted,n_obs,total_emp,emp_share
1,1977,Construction,705304.03,473,8980016.62,0.07854150608465134
1,1977,Education and health services,1373377.11,927,8980016.62,0.15293703431920821
1,1977,Financial activities,437501.44,289,8980016.62,0.04871944657937616
1,1977,Government,462585.2,306,8980016.62,0.05151273316908405
1,1977,Information,116478.96,77,8980016.62,0.01297090695139493
1,1977,Leisure and hospitality,37792.83,25,8980016.62,0.004208547890193103
1,1977,Manufacturing - Durable goods,1301478.38,875,8980016.62,0.14493050904843427
1,1977,Manufacturing - Nondurable goods,1043088.03,718,8980016.62,0.11615658123358798
1,1977,Mining and logging,142055.75,94,8980016.62,0.015819096557529534
1,1977,Other services,384149.67,262,8980016.62,0.04277828051503094
1,1977,Professional and business services,561855.1,373,8980016.62,0.06256726727528039
1,1977,Retail trade,1475089.68,1000,8980016.62,0.164263580171414
1,1977,Transportation and warehousing,332610.44,221,8980016.62,0.03703895594794568
1,1977,Utilities,265637.07,174,8980016.62,0.029580910731098406
1,1977,Wholesale trade,341012.93,223,8980016.62,0.037974643525771117
1,1978,Construction,1335892.55,924,17313877.91,0.07715732760414273
1,1978,Education and health services,2583912.61,1806,17313877.91,0.14923939185845858
1,1978,Financial activities,792282.69,543,17313877.91,0.0457599790248261
1,1978,Government,880880.66,597,17313877.91,0.05087714402163068
1,1978,Information,226726.52,165,17313877.91,0.01309507443558033
1,1978,Leisure and hospitality,105937.91,70,17313877.91,0.006118670268479443
1,1978,Manufacturing - Durable goods,2516689.09,1718,17313877.91,0.1453567538758277
1,1978,Manufacturing - Nondurable goods,2049508.59,1447,17313877.91,0.11837374623141259
1,1978,Mining and logging,225836.29,162,17313877.91,0.013043657300457423
1,1978,Other services,750399.7,525,17313877.91,0.043340937478055716
1,1978,Professional and business services,1029068.21,700,17313877.91,0.05943603249077087
1,1978,Retail trade,2962377.4,2049,17313877.91,0.1710984341808842
1,1978,Transportation and warehousing,739830.36,500,17313877.91,0.042730482670938506
1,1978,Utilities,460613.11,317,17313877.91,0.026603694007450697
1,1978,Wholesale trade,653922.22,440,17313877.91,0.03776867455108444
1,1979,Construction,1368187.46,905,17808665.88,0.07682706100609936
1,1979,Education and health services,2723521.67,1826,17808665.88,0.15293238069330323
1,1979,Financial activities,735447.51,488,17808665.88,0.041297170431275454
1,1979,Government,848689.48,550,17808665.88,0.047655983088161574
1,1979,Information,220902.31,154,17808665.88,0.012404203183354912
1,1979,Leisure and hospitality,96809.61,57,17808665.88,0.005436095586964879
1,1979,Manufacturing - Durable goods,2631692.91,1725,17808665.88,0.14777597197527972
1,1979,Manufacturing - Nondurable goods,2248622.26,1523,17808665.88,0.12626562119542667
1,1979,Mining and logging,239695.69,170,17808665.88,0.013459497281556052
1,1979,Other services,942631.7,653,17808665.88,0.0529310677370067
1,1979,Professional and business services,1083538.17,708,17808665.88,0.06084330950455229
1,1979,Retail trade,2758423.04,1853,17808665.88,0.15489217769523342
1,1979,Transportation and warehousing,784962.39,519,17808665.88,0.04407755164195377
1,1979,Utilities,380601.83,249,17808665.88,0.021371720518797224
1,1979,Wholesale trade,744939.85,475,17808665.88,0.04183018846103479
1,1980,Construction,1275794.04,955,17668126.07,0.07220879197631852
1,1980,Education and health services,2840727.77,2132,17668126.07,0.16078262962043716
1,1980,Financial activities,729969.87,558,17668126.07,0.041315636254116904
1,1980,Government,809581.48,615,17668126.07,0.04582158157534587
1,1980,Information,326061.14,248,17668126.07,0.01845476643692525
1,1980,Leisure and hospitality,101506.99,70,17668126.07,0.005745204080944166
1,1980,Manufacturing - Durable goods,2590195.84,1921,17668126.07,0.14660274834681433
1,1980,Manufacturing - Nondurable goods,2082166.21,1549,17668126.07,0.11784872950026443
1,1980,Mining and logging,298975.78,225,17668126.07,0.016921759490252496
1,1980,Other services,949684.97,722,17668126.07,0.05375131274462317
1,1980,Professional and business services,1096373.13,838,17668126.07,0.062053730296933514
1,1980,Retail trade,2556148.05,1977,17668126.07,0.1446756741418248
1,1980,Transportation and warehousing,712163.44,537,17668126.07,0.04030780837642053
1,1980,Utilities,438011.7,311,17668126.07,0.024791067160412218
1,1980,Wholesale trade,860765.66,633,17668126.07,0.0487185599983666
1,1981,Construction,1205972.99,828,17466087.46,0.06904654478353334
1,1981,Education and health services,2729356.95,1866,17466087.46,0.15626607597440714
1,1981,Financial activities,789193.15,545,17466087.46,0.04518431227413538
1,1981,Government,718169.21,506,17466087.46,0.0411179213229475
1,1981,Information,317121.75,216,17466087.46,0.018156427461287886
1,1981,Leisure and hospitality,114157.09,80,17466087.46,0.006535927995404644
1,1981,Manufacturing - Durable goods,2393793.97,1651,17466087.46,0.13705381789036342
1,1981,Manufacturing - Nondurable goods,2204355.49,1542,17466087.46,0.12620774372327573
1,1981,Mining and logging,199228.59,141,17466087.46,0.011406595235267417
1,1981,Other services,826252.53,558,17466087.46,0.047306102863176665
1,1981,Professional and business services,1195224.59,816,17466087.46,0.06843115796466989
1,1981,Retail trade,2779583.62,1920,17466087.46,0.15914174404345963
1,1981,Transportation and warehousing,640585.53,458,17466087.46,0.036675960284009705
1,1981,Utilities,520966.43,346,17466087.46,0.029827311422383086
1,1981,Wholesale trade,832125.57,555,17466087.46,0.04764235676167855
1,1982,Construction,1105601.06,731,17203274.44,0.06426689662226885
1,1982,Education and health services,2683112.08,1751,17203274.44,0.1559651965884699
1,1982,Financial activities,798324.47,527,17203274.44,0.04640537897505052
1,1982,Government,850672.81,581,17203274.44,0.049448307818775926
1,1982,Information,303759.72,213,17203274.44,0.017657087379465183
1,1982,Leisure and hospitality,165417.38,106,17203274.44,0.009615458997467461
1,1982,Manufacturing - Durable goods,2076710.41,1402,17203274.44,0.12071599608800984
1,1982,Manufacturing - Nondurable goods,2250939.66,1483,17203274.44,0.13084367559505142
1,1982,Mining and logging,203261.04,131,17203274.44,0.011815253003660157
1,1982,Other services,731455.18,475,17203274.44,0.042518369543606487
1,1982,Professional and business services,1010343.15,669,17203274.44,0.05872970018142662
1,1982,Retail trade,3088951.85,2032,17203274.44,0.17955604096030453
1,1982,Transportation and warehousing,731057.98,495,17203274.44,0.04249528091583476
1,1982,Utilities,434159.37,289,17203274.44,0.025237019354322408
1,1982,Wholesale trade,769508.28,488,17203274.44,0.04473033797628587
1,1983,Construction,1370761.71,852,17796567.88,0.07702393625798369
1,1983,Education and health services,2681385.93,1750,17796567.88,0.15066871028617684
1,1983,Financial activities,862417.57,550,17796567.88,0.04845976908666729
1,1983,Government,928596.12,617,17796567.88,0.05217838216117882
1,1983,Information,307047.48,214,17796567.88,0.01725318511245439
1,1983,Leisure and hospitality,182835.92,109,17796567.88,0.010273661822483944
1,1983,Manufacturing - Durable goods,1943212.92,1328,17796567.88,0.10919031877960056
1,1983,Manufacturing - Nondurable goods,2212618.15,1382,17796567.88,0.124328362913535
1,1983,Mining and logging,200908.89,123,17796567.88,0.011289193026133083
1,1983,Other services,837772.52,525,17796567.88,0.047074948700726676
1,1983,Professional and business services,1257217.38,821,17796567.88,0.07064381112567644
1,1983,Retail trade,3126731.53,1984,17796567.88,0.17569295108377941
1,1983,Transportation and warehousing,677875.97,446,17796567.88,0.03809026406500578
1,1983,Utilities,394332.2,237,17796567.88,0.02215776674800063
1,1983,Wholesale trade,812853.59,496,17796567.88,0.045674738830597486
1,1984,Construction,1363019.01,784,18693405.14,0.07291443157584077
1,1984,Education and health services,2953837.46,1672,18693405.14,0.1580149490089102
1,1984,Financial activities,882199.77,505,18693405.14,0.047193101705813666
1,1984,Government,837966.9,514,18693405.14,0.044826873099054865
1,1984,Information,356943.5,181,18693405.14,0.0190946217303243
1,1984,Leisure and hospitality,153245.91,85,18693405.14,0.008197859558079423
1,1984,Manufacturing - Durable goods,2393052.41,1386,18693405.14,0.12801586399469647
1,1984,Manufacturing - Nondurable goods,2166991.14,1243,18693405.14,0.11592276119683993
1,1984,Mining and logging,174393.69,102,18693405.14,0.009329155854373142
1,1984,Other services,1011015.39,546,18693405.14,0.0540840677462576
1,1984,Professional and business services,1218496.56,717,18693405.14,0.0651832317801036
1,1984,Retail trade,3224102.6,1814,18693405.14,0.1724727290642779
1,1984,Transportation and warehousing,663535.79,373,18693405.14,0.035495715469204235
1,1984,Utilities,477233.2,262,18693405.14,0.025529495371542567
1,1984,Wholesale trade,817371.81,467,18693405.14,0.04372514284468132
1,1985,Construction,1324958.05,563,19253124.11,0.06881782106789733
1,1985,Education and health services,3053660.65,1304,19253124.11,0.1586059816865742
1,1985,Financial activities,1008380.9,418,19253124.11,0.05237492337548745
1,1985,Government,1043159.04,426,19253124.11,0.054181286841556646
1,1985,Information,418797.2,185,19253124.11,0.02175216851079656
1,1985,Leisure and hospitality,157669.6,63,19253124.11,0.008189299518310746
1,1985,Manufacturing - Durable goods,2416360.41,1053,19253124.11,0.12550484774286327
1,1985,Manufacturing - Nondurable goods,2046984.42,891,19253124.11,0.1063195982275315
1,1985,Mining and logging,176822.25,74,19253124.11,0.009184080930957027
1,1985,Other services,825266.08,367,19253124.11,0.04286400873359352
1,1985,Professional and business services,1531483.68,639,19253124.11,0.07954468434577602
1,1985,Retail trade,3345800.82,1456,19253124.11,0.17377963186048354
1,1985,Transportation and warehousing,568426.59,245,19253124.11,0.02952386255614284
1,1985,Utilities,490938.33,208,19253124.11,0.02549915157639318
1,1985,Wholesale trade,844416.09,349,19253124.11,0.04385865302563616
1,1986,Construction,1536376.14,573,19936163.23,0.07706478534887075
1,1986,Education and health services,3271969.09,1250,19936163.23,0.16412230639626438
1,1986,Financial activities,873124.52,330,19936163.23,0.04379601580940708
1,1986,Government,1052994.98,393,19936163.23,0.05281833660026669
1,1986,Information,326210.13,127,19936163.23,0.01636273370339976
1,1986,Leisure and hospitality,161531.21,61,19936163.23,0.008102422122875043
1,1986,Manufacturing - Durable goods,2619922.32,986,19936163.23,0.1314155732863148
1,1986,Manufacturing - Nondurable goods,2160739.44,815,19936163.23,0.10838291275366929
1,1986,Mining and logging,112422.71,44,19936163.23,0.005639134707265336
1,1986,Other services,915214.76,344,19936163.23,0.04590726658090269
1,1986,Professional and business services,1595776.75,585,19936163.23,0.08004432606163006
1,1986,Retail trade,3277621.74,1232,19936163.23,0.164405843902192
1,1986,Transportation and warehousing,724087.72,270,19936163.23,0.036320314578403456
1,1986,Utilities,422011.42,157,19936163.23,0.02116813627232726
1,1986,Wholesale trade,886160.3,327,19936163.23,0.04444989187621133
1,1987,Construction,1400451.82,647,20540853.580000002,0.06817885218575225
1,1987,Education and health services,3354357.64,1575,20540853.580000002,0.16330176479452807
1,1987,Financial activities,919607.68,431,20540853.580000002,0.04476969160110239
1,1987,Government,1033631.86,483,20540853.580000002,0.05032078418622367
1,1987,Information,416069.54,195,20540853.580000002,0.020255708380352514
1,1987,Leisure and hospitality,151765.2,73,20540853.580000002,0.007388456346710398
1,1987,Manufacturing - Durable goods,2507722.53,1160,20540853.580000002,0.12208463101269035
1,1987,Manufacturing - Nondurable goods,2282175.09,1065,20540853.580000002,0.1111041993027049
1,1987,Mining and logging,98168.48,47,20540853.580000002,0.004779182112255725
1,1987,Other services,948065.2,451,20540853.580000002,0.04615510238206955
1,1987,Professional and business services,1885924.3,876,20540853.580000002,0.09181333641539934
1,1987,Retail trade,3571344.81,1666,20540853.580000002,0.1738654528688773
1,1987,Transportation and warehousing,758562.18,351,20540853.580000002,0.03692943806086952
1,1987,Utilities,409355.73,176,20540853.580000002,0.019928856822122382
1,1987,Wholesale trade,803651.52,366,20540853.580000002,0.03912454352834153
1,1988,Construction,1505761.48,693,20249755.47,0.07435948953708527
1,1988,Education and health services,3306811.03,1525,20249755.47,0.1633012820771608
1,1988,Financial activities,896226.7,415,20249755.47,0.04425864308967875
1,1988,Government,1268816.92,596,20249755.47,0.062658382313789
1,1988,Information,333783.36,154,20249755.47,0.016483327934231098
1,1988,Leisure and hospitality,168127.8,75,20249755.47,0.008302707667215104
1,1988,Manufacturing - Durable goods,2402499.61,1116,20249755.47,0.11864338873421468
1,1988,Manufacturing - Nondurable goods,2154261.46,997,20249755.47,0.10638456662805322
1,1988,Mining and logging,116739.72,55,20249755.47,0.005764994059950493
1,1988,Other services,840158.82,387,20249755.47,0.04148982545713674
1,1988,Professional and business services,2070058.69,942,20249755.47,0.10222635493385542
1,1988,Retail trade,3378411.49,1542,20249755.47,0.16683714995991505
1,1988,Transportation and warehousing,677987.77,306,20249755.47,0.03348128183594308
1,1988,Utilities,400278.37,174,20249755.47,0.019767071784793262
1,1988,Wholesale trade,729832.25,344,20249755.47,0.03604153398697807
1,1989,Construction,1540719.41,687,20883807.85,0.07377578940901813
1,1989,Education and health services,3065080.32,1366,20883807.85,0.1467682686038504
1,1989,Financial activities,942737.6,408,20883807.85,0.04514203572314519
1,1989,Government,1176297.88,525,20883807.85,0.05632583331779697
1,1989,Information,281319.31,124,20883807.85,0.013470690403809667
1,1989,Leisure and hospitality,175995.34,80,20883807.85,0.008427358710830122
1,1989,Manufacturing - Durable goods,2787025.09,1225,20883807.85,0.133453875366891
1,1989,Manufacturing - Nondurable goods,2433229.82,1079,20883807.85,0.11651274697971327
1,1989,Mining and logging,125491.36,57,20883807.85,0.006009026749400972
1,1989,Other services,907295.56,390,20883807.85,0.043444929512698995
1,1989,Professional and business services,1935396.57,867,20883807.85,0.09267450571759593
1,1989,Retail trade,3667259.26,1610,20883807.85,0.17560299761137668
1,1989,Transportation and warehousing,703929.87,309,20883807.85,0.03370696929678942
1,1989,Utilities,391485.96,170,20883807.85,0.01874590892675734
1,1989,Wholesale trade,750544.5,338,20883807.85,0.03593906367032581
1,1990,Construction,1508889.11,686,20451839.04,0.07377767383406907
1,1990,Education and health services,3027323.55,1382,20451839.04,0.14802206999962778
1,1990,Financial activities,1076131.58,484,20451839.04,0.05261783930018648
1,1990,Government,1093444.05,489,20451839.04,0.0534643387257951
1,1990,Information,272210.54,116,20451839.04,0.013309831916220673
1,1990,Leisure and hospitality,138410.55,61,20451839.04,0.006767633449945242
1,1990,Manufacturing - Durable goods,2655088.98,1195,20451839.04,0.12982152728696617
1,1990,Manufacturing - Nondurable goods,2412883.69,1063,20451839.04,0.11797881282367065
1,1990,Mining and logging,157684.18,66,20451839.04,0.0077100244966527955
1,1990,Other services,878351.04,389,20451839.04,0.04294728891040598
1,1990,Professional and business services,1922047.53,872,20451839.04,0.09397920285998887
1,1990,Retail trade,3429961.17,1532,20451839.04,0.16770918073878993
1,1990,Transportation and warehousing,743991.63,338,20451839.04,0.03637773740272895
1,1990,Utilities,380761.72,169,20451839.04,0.018617480768125583
1,1990,Wholesale trade,754659.72,353,20451839.04,0.03689935748682677
1,1991,Construction,1465253.78,682,20625405.26,0.07104121162853698
1,1991,Education and health services,3411130.98,1601,20625405.26,0.1653849190840093
1,1991,Financial activities,1020978.41,488,20625405.26,0.049501010871288935
1,1991,Government,1124928.66,533,20625405.26,0.054540923963401426
1,1991,Information,247844.81,118,20625405.26,0.012016481949116377
1,1991,Leisure and hospitality,170829.08,83,20625405.26,0.008282459318813887
1,1991,Manufacturing - Durable goods,2518531.85,1176,20625405.26,0.12210823585048917
1,1991,Manufacturing - Nondurable goods,2411601.96,1089,20625405.26,0.11692385820301694
1,1991,Mining and logging,109545.93,45,20625405.26,0.005311213458309521
1,1991,Other services,842530.01,388,20625405.26,0.040849137235328195
1,1991,Professional and business services,2052560.59,962,20625405.26,0.09951613382262336
1,1991,Retail trade,3279879.87,1511,20625405.26,0.1590213539396898
1,1991,Transportation and warehousing,753915.69,346,20625405.26,0.03655276977573433
1,1991,Utilities,334967.86,167,20625405.26,0.016240546829381426
1,1991,Wholesale trade,880905.78,434,20625405.26,0.04270974407026027
1,1992,Construction,1521993.53,698,21269928.41,0.07155611907393346
1,1992,Education and health services,3416159.83,1606,21269928.41,0.16060984146960747
1,1992,Financial activities,1074069.7,502,21269928.41,0.0504970999100791
1,1992,Government,1051182.74,511,21269928.41,0.04942107560201233
1,1992,Information,267113.41,133,21269928.41,0.012558265587505096
1,1992,Leisure and hospitality,275886.42,127,21269928.41,0.012970726308147456
1,1992,Manufacturing - Durable goods,2787605.85,1273,21269928.41,0.13105854407527834
1,1992,Manufacturing - Nondurable goods,2404841.59,1086,21269928.41,0.11306298468166776
1,1992,Mining and logging,74509.58,34,21269928.41,0.0035030479916880923
1,1992,Other services,786368.74,352,21269928.41,0.036970916161160695
1,1992,Professional and business services,2023682.75,952,21269928.41,0.0951429036803232
1,1992,Retail trade,3601365.6,1679,21269928.41,0.16931724125158915
1,1992,Transportation and warehousing,687141.44,327,21269928.41,0.032305771169259895
1,1992,Utilities,443613.39,197,21269928.41,0.020856364979180482
1,1992,Wholesale trade,854393.84,408,21269928.41,0.040169098058567464
1,1993,Construction,1639412.07,738,21613904.38,0.07584988076087713
1,1993,Education and health services,3557068.33,1591,21613904.38,0.16457315011032728
1,1993,Financial activities,1111291.78,472,21613904.38,0.05141559620428006
1,1993,Government,1072466.84,495,21613904.38,0.04961930159145083
1,1993,Information,351085.66,152,21613904.38,0.016243509447782613
1,1993,Leisure and hospitality,251238.33,111,21613904.38,0.011623921600785762
1,1993,Manufacturing - Durable goods,2711576.51,1208,21613904.38,0.12545519135862856
1,1993,Manufacturing - Nondurable goods,2148742.88,965,21613904.38,0.09941484158633998
1,1993,Mining and logging,154663.19,64,21613904.38,0.0071557265767824224
1,1993,Other services,810827.98,369,21613904.38,0.03751418372842825
1,1993,Professional and business services,1963543.5,884,21613904.38,0.09084631196096742
1,1993,Retail trade,3555362.02,1594,21613904.38,0.16449420509558116
1,1993,Transportation and warehousing,833585.17,371,21613904.38,0.038567079568064606
1,1993,Utilities,501366.9,217,21613904.38,0.02319649847548738
1,1993,Wholesale trade,951673.22,418,21613904.38,0.04403060193421657
1,1994,Construction,1733884.4702,701,22213489.491100002,0.07805547484534987
1,1994,Education and health services,3716139.6802,1549,22213489.491100002,0.1672920268420186
1,1994,Financial activities,1043265.9787,432,22213489.491100002,0.04696542518085653
1,1994,Government,1002753.6557,422,22213489.491100002,0.045141653953187345
1,1994,Information,385855.5678,152,22213489.491100002,0.017370326618633955
1,1994,Leisure and hospitality,235278.8709,98,22213489.491100002,0.01059171144606822
1,1994,Manufacturing - Durable goods,2925295.489,1197,22213489.491100002,0.13169004762498215
1,1994,Manufacturing - Nondurable goods,2255302.8938,931,22213489.491100002,0.10152852818120287
1,1994,Mining and logging,168067.4051,74,22213489.491100002,0.0075660064650057545
1,1994,Other services,737068.7216,299,22213489.491100002,0.033181131757588654
1,1994,Professional and business services,1989799.5941,814,22213489.491100002,0.08957618274684974
1,1994,Retail trade,3908639.4468,1594,22213489.491100002,0.17595792180089603
1,1994,Transportation and warehousing,866450.1697,368,22213489.491100002,0.039005585774677574
1,1994,Utilities,412206.3698,173,22213489.491100002,0.018556578873623324
1,1994,Wholesale trade,833481.1777,367,22213489.491100002,0.037521397889059276
1,1995,Construction,1535999.2898,623,22681997.7598,0.06771887141803261
1,1995,Education and health services,3748566.8729,1507,22681997.7598,0.165266168906149
1,1995,Financial activities,999435.1276,398,22681997.7598,0.04406292330084476
1,1995,Government,1094499.7495,443,22681997.7598,0.04825411593328942
1,1995,Information,354564.0492,143,22681997.7598,0.01563195856708904
1,1995,Leisure and hospitality,214232.3595,85,22681997.7598,0.009445039267206462
1,1995,Manufacturing - Durable goods,2999442.752,1181,22681997.7598,0.13223891403939755
1,1995,Manufacturing - Nondurable goods,2225836.0514,893,22681997.7598,0.09813227542703129
1,1995,Mining and logging,130413.7374,50,22681997.7598,0.005749658331733736
1,1995,Other services,775685.7923,311,22681997.7598,0.03419830124817188
1,1995,Professional and business services,2188849.777,872,22681997.7598,0.09650163094890017
1,1995,Retail trade,3936511.2513,1544,22681997.7598,0.1735522282026145
1,1995,Transportation and warehousing,860352.8006,342,22681997.7598,0.03793108568791192
1,1995,Utilities,522522.9812,202,22681997.7598,0.023036902954204658
1,1995,Wholesale trade,1095085.1681,444,22681997.7598,0.04827992576742305
1,1996,Construction,1597039.2279,615,23238065.8816,0.0687251355614988
1,1996,Education and health services,4093087.9756,1600,23238065.8816,0.1761372050692448
1,1996,Financial activities,1076447.0736,420,23238065.8816,0.046322576030406015
1,1996,Government,1021323.3354,386,23238065.8816,0.043950444955433585
1,1996,Information,336919.125,133,23238065.8816,0.014498587219634918
1,1996,Leisure and hospitality,295937.0383,119,23238065.8816,0.01273501158865051
1,1996,Manufacturing - Durable goods,3105081.1474,1179,23238065.8816,0.13362046407909606
1,1996,Manufacturing - Nondurable goods,2381370.1208,919,23238065.8816,0.1024771223617874
1,1996,Mining and logging,106310.101,41,23238065.8816,0.004574825699421774
1,1996,Other services,781619.8702,298,23238065.8816,0.03363532379081901
1,1996,Professional and business services,2201329.4937,847,23238065.8816,0.09472946263755204
1,1996,Retail trade,3954641.0869,1513,23238065.8816,0.17017944208649918
1,1996,Transportation and warehousing,909936.5946,347,23238065.8816,0.0391571570214237
1,1996,Utilities,452017.4941,171,23238065.8816,0.01945159706505133
1,1996,Wholesale trade,925006.1971,355,23238065.8816,0.03980564483348091
1,1997,Construction,1862637.468,697,24043667.3528,0.07746894184938417
1,1997,Education and health services,4272400.3842,1673,24043667.3528,0.17769337437212793
1,1997,Financial activities,1211919.9993,474,24043667.3528,0.050404956178985987
1,1997,Government,985228.4974,370,24043667.3528,0.040976631515627145
1,1997,Information,320136.93,125,24043667.3528,0.013314812807153503
1,1997,Leisure and hospitality,270692.5573,104,24043667.3528,0.011258372249459546
1,1997,Manufacturing - Durable goods,2965061.2602,1113,24043667.3528,0.12331984204791888
1,1997,Manufacturing - Nondurable goods,2177498.66,819,24043667.3528,0.09056433147443374
1,1997,Mining and logging,116821.817,42,24043667.3528,0.004858735370350877
1,1997,Other services,807572.9452,309,24043667.3528,0.03358776069183781
1,1997,Professional and business services,2272610.2666,881,24043667.3528,0.09452011763651953
1,1997,Retail trade,4289789.6886,1630,24043667.3528,0.1784166128092948
1,1997,Transportation and warehousing,863982.9281,324,24043667.3528,0.03593390789443712
1,1997,Utilities,518802.0507,197,24043667.3528,0.021577492446865975
1,1997,Wholesale trade,1108511.9002,424,24043667.3528,0.04610411065560298
1,1998,Construction,1929912.7824,732,24305777.1384,0.07940140203750104
1,1998,Education and health services,4251205.0588,1628,24305777.1384,0.17490512788762647
1,1998,Financial activities,1420196.7514,544,24305777.1384,0.05843041937368346
1,1998,Government,1065692.3002,393,24305777.1384,0.04384522634811554
1,1998,Information,313115.7127,119,24305777.1384,0.012882357594125943
1,1998,Leisure and hospitality,302254.1892,115,24305777.1384,0.012435487558325272
1,1998,Manufacturing - Durable goods,2919936.8218,1075,24305777.1384,0.12013344832273952
1,1998,Manufacturing - Nondurable goods,1936139.0573,726,24305777.1384,0.07965756644090798
1,1998,Mining and logging,132994.3363,50,24305777.1384,0.005471717096010317
1,1998,Other services,668874.8042,257,24305777.1384,0.027519169635735034
1,1998,Professional and business services,2692512.6143,1009,24305777.1384,0.11077665194445384
1,1998,Retail trade,4662273.8877,1700,24305777.1384,0.19181751980825199
1,1998,Transportation and warehousing,741807.3234,284,24305777.1384,0.03051979449889878
1,1998,Utilities,455932.5333,168,24305777.1384,0.018758196074285784
1,1998,Wholesale trade,812928.9654,309,24305777.1384,0.033445915379339046
1,1999,Construction,2046633.3404,801,24228251.4591,0.08447301052058775
1,1999,Education and health services,4321317.7454,1671,24228251.4591,0.17835863032439087
1,1999,Financial activities,1363150.8779,527,24228251.4591,0.05626286652180209
1,1999,Government,988114.0826,385,24228251.4591,0.04078354908392985
1,1999,Information,344117.3588,130,24228251.4591,0.01420314459674932
1,1999,Leisure and hospitality,309134.7732,120,24228251.4591,0.012759268811529965
1,1999,Manufacturing - Durable goods,3137383.8405,1193,24228251.4591,0.1294927884414711
1,1999,Manufacturing - Nondurable goods,1915787.4485,743,24228251.4591,0.07907246017047757
1,1999,Mining and logging,75507.1918,32,24228251.4591,0.003116493649055302
1,1999,Other services,692754.0743,264,24228251.4591,0.02859282170937702
1,1999,Professional and business services,2489234.4857,984,24228251.4591,0.10274098772262234
1,1999,Retail trade,4613564.4166,1777,24228251.4591,0.19042085741879528
1,1999,Transportation and warehousing,721501.9111,287,24228251.4591,0.02977936366220963
1,1999,Utilities,332993.0115,128,24228251.4591,0.013743996840305603
1,1999,Wholesale trade,877056.9008,336,24228251.4591,0.03619976052669629
1,2000,Construction,1600549.8179,640,23751572.3156,0.06738711006718326
1,2000,Education and health services,4194070.9348,1674,23751572.3156,0.1765807702779045
1,2000,Financial activities,1290706.8453,524,23751572.3156,0.05434195379361329
1,2000,Government,1142485.1318,463,23751572.3156,0.048101452679392406
1,2000,Information,326555.3387,132,23751572.3156,0.013748788263820283
1,2000,Leisure and hospitality,281735.9351,117,23751572.3156,0.011861780405794702
1,2000,Manufacturing - Durable goods,2747492.0757,1083,23751572.3156,0.11567621878638538
1,2000,Manufacturing - Nondurable goods,1793751.8756,719,23751572.3156,0.07552139503715576
1,2000,Mining and logging,125627.7999,50,23751572.3156,0.005289241412345903
1,2000,Other services,731228.5941,288,23751572.3156,0.03078653422955625
1,2000,Professional and business services,3076101.793,1226,23751572.3156,0.12951150147561477
1,2000,Retail trade,4266530.9467,1719,23751572.3156,0.17963151617957301
1,2000,Transportation and warehousing,787118.0963,314,23751572.3156,0.0331396206466307
1,2000,Utilities,420751.7311,169,23751572.3156,0.01771468960072386
1,2000,Wholesale trade,966865.3996,381,23751572.3156,0.0407074271443059
1,2001,Construction,1647321.5475,742,23593717.164100002,0.06982034819026102
1,2001,Education and health services,4102211.1367,1882,23593717.164100002,0.17386879346599482
1,2001,Financial activities,1523817.5831,704,23593717.164100002,0.06458573579150248
1,2001,Government,1120869.7254,534,23593717.164100002,0.04750712732563845
1,2001,Information,360752.2367,176,23593717.164100002,0.01529018230535193
1,2001,Leisure and hospitality,262451.7546,115,23593717.164100002,0.011123798457639576
1,2001,Manufacturing - Durable goods,2682744.1451,1211,23593717.164100002,0.11370587035696267
1,2001,Manufacturing - Nondurable goods,1720510.3363,783,23593717.164100002,0.07292239388704354
1,2001,Mining and logging,101260.7665,44,23593717.164100002,0.004291853030012478
1,2001,Other services,689747.2134,321,23593717.164100002,0.02923435966459382
1,2001,Professional and business services,2822386.4447,1293,23593717.164100002,0.11962449261681067
1,2001,Retail trade,4250849.5278,1931,23593717.164100002,0.18016870755185863
1,2001,Transportation and warehousing,906862.2536,428,23593717.164100002,0.038436599340941235
1,2001,Utilities,504625.1197,227,23593717.164100002,0.02138811430984827
1,2001,Wholesale trade,897307.373,423,23593717.164100002,0.038031623705540356
1,2002,Construction,1570592.1347,729,23251048.5241,0.06754930355386175
1,2002,Education and health services,4379687.4111,2076,23251048.5241,0.18836515723410927
1,2002,Financial activities,1474850.1734,723,23251048.5241,0.06343155543593226
1,2002,Government,1264135.6331,619,23251048.5241,0.054368973157907605
1,2002,Information,387349.6852,185,23251048.5241,0.016659450209245717
1,2002,Leisure and hospitality,372571.458,172,23251048.5241,0.016023856197875337
1,2002,Manufacturing - Durable goods,2549120.5955,1224,23251048.5241,0.10963465122262357
1,2002,Manufacturing - Nondurable goods,1755918.7844,831,23251048.5241,0.07551998279045216
1,2002,Mining and logging,111813.7094,49,23251048.5241,0.004808974927909325
1,2002,Other services,741092.6913,345,23251048.5241,0.0318735170386767
1,2002,Professional and business services,2892796.1455,1393,23251048.5241,0.12441572871440965
1,2002,Retail trade,3725141.7557,1755,23251048.5241,0.16021392548550423
1,2002,Transportation and warehousing,778628.0477,374,23251048.5241,0.03348786816615786
1,2002,Utilities,503421.1539,238,23251048.5241,0.02165154631104906
1,2002,Wholesale trade,743929.1452,356,23251048.5241,0.031995509554285616
1,2003,Construction,1761867.5359,769,24067091.6813,0.0732064995318467
