STATEFIP,state_name,year,month,unemployment_rate,unemployment_total,employment_total,labor_force,population
1,Alabama,1981,11,11.9,201328.0,1491399.0,1692727.0,2867689.0
1,Alabama,1981,12,12.2,205128.0,1480181.0,1685309.0,2869356.0
1,Alabama,1982,1,13.1,217450.0,1448152.0,1665602.0,2871013.0
1,Alabama,1982,2,13.6,228054.0,1448211.0,1676265.0,2872669.0
1,Alabama,1982,3,12.9,217377.0,1461740.0,1679117.0,2874357.0
1,Alabama,1982,4,12.8,215826.0,1468829.0,1684655.0,2876012.0
1,Alabama,1982,5,12.8,218489.0,1485990.0,1704479.0,2877678.0
1,Alabama,1982,6,14.3,247784.0,1487062.0,1734846.0,2879332.0
1,Alabama,1982,7,14.3,248466.0,1494707.0,1743173.0,2880997.0
1,Alabama,1982,8,14.4,249470.0,1488483.0,1737953.0,2882650.0
1,Alabama,1982,9,14.1,243983.0,1483183.0,1727166.0,2883307.0
1,Alabama,1982,10,14.2,247569.0,1492046.0,1739615.0,2884971.0
1,Alabama,1982,11,14.5,252627.0,1488032.0,1740659.0,2886623.0
1,Alabama,1982,12,14.5,250195.0,1474956.0,1725151.0,2887290.0
1,Alabama,1983,1,15.3,260385.0,1440692.0,1701077.0,2888941.0
1,Alabama,1983,2,15.4,262473.0,1444772.0,1707245.0,2890593.0
1,Alabama,1983,3,14.4,246489.0,1466204.0,1712693.0,2891281.0
1,Alabama,1983,4,13.7,235670.0,1478525.0,1714195.0,2892931.0
1,Alabama,1983,5,13.5,232382.0,1484074.0,1716456.0,2894592.0
1,Alabama,1983,6,14.7,261555.0,1514241.0,1775796.0,2895246.0
1,Alabama,1983,7,13.7,244736.0,1540096.0,1784832.0,2896906.0
1,Alabama,1983,8,14.1,251157.0,1532420.0,1783577.0,2898555.0
1,Alabama,1983,9,13.5,238900.0,1533203.0,1772103.0,2901199.0
1,Alabama,1983,10,13.0,231324.0,1546019.0,1777343.0,2902857.0
1,Alabama,1983,11,12.5,222877.0,1554301.0,1777178.0,2905500.0
1,Alabama,1983,12,12.3,218861.0,1553497.0,1772358.0,2907157.0
1,Alabama,1984,1,13.0,227052.0,1516537.0,1743589.0,2908804.0
1,Alabama,1984,2,13.0,227767.0,1525200.0,1752967.0,2911444.0
1,Alabama,1984,3,12.0,210616.0,1541502.0,1752118.0,2913112.0
1,Alabama,1984,4,11.5,201578.0,1556751.0,1758329.0,2915751.0
1,Alabama,1984,5,10.8,190857.0,1579223.0,1770080.0,2917407.0
1,Alabama,1984,6,11.7,210581.0,1596162.0,1806743.0,2920045.0
1,Alabama,1984,7,11.7,211010.0,1597578.0,1808588.0,2921699.0
1,Alabama,1984,8,11.6,207785.0,1588847.0,1796632.0,2924336.0
1,Alabama,1984,9,10.9,193195.0,1586080.0,1779275.0,2925979.0
1,Alabama,1984,10,10.6,189609.0,1598307.0,1787916.0,2928625.0
1,Alabama,1984,11,10.1,179540.0,1606010.0,1785550.0,2930267.0
1,Alabama,1984,12,10.0,178576.0,1605081.0,1783657.0,2932912.0
1,Alabama,1985,1,10.9,191744.0,1575171.0,1766915.0,2934553.0
1,Alabama,1985,2,10.6,186603.0,1581592.0,1768195.0,2937186.0
