STATEFIP,YEAR,bartik_shock
1,1978,0.04534627754796882
1,1979,0.03775943877986743
1,1980,0.005051001398603692
1,1981,0.011942488758459826
1,1982,-0.018828854348587422
1,1983,0.007672361357270352
1,1984,0.05184550649800395
1,1985,0.03180626929393123
1,1986,0.019745471189230424
1,1987,0.026815003994733046
1,1988,0.034123183467135956
1,1989,0.025759668273236783
1,1990,0.009812251573556837
1,1991,-0.01402713023874688
1,1992,0.0003576833885989216
1,1993,0.019276535223215974
1,1994,0.03234913935654962
1,1995,0.027162899692733174
1,1996,0.0200732062788099
1,1997,0.025914924055252527
1,1998,0.02580326602903713
1,1999,0.02277679757788054
1,2000,0.01964484470526134
1,2001,-0.0030768133923001163
1,2002,-0.015421845569676506
1,2003,-0.005426403503976013
1,2004,0.010988658260911348
1,2005,0.01835400243590551
1,2006,0.018278088177400485
1,2007,0.008632407499113042
1,2008,-0.009896221488467229
1,2009,-0.050611115765469276
1,2010,-0.010292640275995931
1,2011,0.015525628886153513
1,2012,0.019381322265100653
1,2013,0.016891755641708334
1,2014,0.019954902569583613
1,2015,0.021488944747740976
1,2016,0.016493080232996706
1,2017,0.014738263121582312
1,2018,0.01703078616937391
1,2019,0.012534824147028509
1,2020,-0.042099572607566645
1,2021,0.02669977358998119
1,2022,0.03506943136034515
1,2023,0.018314639230728513
1,2024,0.009609989629744568
1,2025,0.0037737187770940043
2,1978,0.05378232811476847
2,1979,0.041511719388310664
2,1980,0.01726606145636797
2,1981,0.013633978597486468
2,1982,-0.00818816163093654
2,1983,0.009708776797195291
2,1984,0.05161475911331466
2,1985,0.03904449158044379
2,1986,0.023476135521875757
2,1987,0.02968083540154466
2,1988,0.03569665850405233
2,1989,0.028737101292452175
2,1990,0.018161451565050703
2,1991,-0.0067279078870307605
2,1992,0.0025145885610279484
2,1993,0.022464910862205922
2,1994,0.03401127659027569
2,1995,0.02817685515389063
2,1996,0.02421887231698248
2,1997,0.028308801826730304
2,1998,0.028104651972243568
2,1999,0.02848494979782667
2,2000,0.023706571199580743
2,2001,0.006300555261884772
2,2002,-0.004500568037204708
2,2003,0.0018604534731906774
2,2004,0.014782500174593425
2,2005,0.02193638259025203
2,2006,0.022701001337115716
2,2007,0.013971218110179926
2,2008,-0.003815639045351548
2,2009,-0.04738822490775659
2,2010,-0.007316299835360793
2,2011,0.016027677698294676
2,2012,0.01926735202891386
2,2013,0.01760725316109647
2,2014,0.021129520087428657
2,2015,0.021129682606893862
2,2016,0.014451415754510762
2,2017,0.01676467619382896
2,2018,0.01754086979450382
2,2019,0.013450040845119604
2,2020,-0.04270654654675946
2,2021,0.026600432944702653
2,2022,0.03640754383336468
2,2023,0.020732844456083473
2,2024,0.013220246417679146
