YEAR,STATEFIP,mean_abstract,mean_routine,mean_manual,mean_rti,total_employed,n_obs,share_routine,share_NRC,share_NRM,real_gdp,population,gdp_pc
1976,6,3.1914143744170063,2.632582218744929,2.8691425099065486,-1.2080753018013326,11612111.285000002,83936,0.5477858019694579,0.3093271149787072,0.14288708305183484,,21934505.0,
1976,9,3.1961687349600756,2.686796631876972,2.8715711765227323,-1.1933664954652974,1338351.4216666666,9863,0.5618967304550756,0.3120579766513061,0.1260452928936182,,3085984.0,
1976,11,3.2372871639363745,2.5643545898862956,2.6219325974488044,-1.1548535028750273,294676.7408333333,1956,0.4383026710873667,0.35127882038709907,0.21041850852553434,,696305.0,
1976,12,3.164190304319878,2.619114242577856,2.919280133384438,-1.2193082611164805,3023251.0516666663,21492,0.5415213341933867,0.2801425414857855,0.17833612432082782,,8695356.0,
1976,13,3.144865959230877,2.6829749403012304,2.981978340660865,-1.2130206393360679,2179739.3975,15819,0.5969669208065489,0.2744024039957516,0.1286306751976995,,5126155.0,
1976,15,3.130876819432194,2.628096819799039,2.883601998490761,-1.1940359539355208,316359.2625,2156,0.5770391242132576,0.2583690006425229,0.16459187514421947,,892335.0,
1976,17,3.1803513853645353,2.6979665508057162,2.917150887193308,-1.198178867265187,4670771.2075000005,33724,0.5847401374986885,0.2874459557813545,0.127813906719957,,11360274.0,
1976,18,3.1026381743144156,2.766886212482286,3.061166829694836,-1.200258177876081,2399291.194166667,17883,0.6397833543236033,0.22451806584975717,0.1356985798266394,,5371552.0,
1976,19,3.1970854630174235,2.6446917517331463,2.9678380162994524,-1.2409072034819626,1028973.7333333334,7686,0.5247833106513803,0.3377247705519317,0.1374919187966881,,2903770.0,
1976,21,3.1730738702371255,2.689976976302441,2.988778846755753,-1.2227003113194441,1482772.0183333333,10840,0.5789488405865842,0.28823556586141713,0.1328155935519986,,3530443.0,
1976,22,3.176013045258978,2.652481985493007,3.0008996759563975,-1.2379459984476895,1576325.7058333333,11519,0.5698594097863892,0.27686654272539934,0.15327404748821147,,3951636.0,
1976,25,3.189299233262138,2.6891929422050738,2.869483153317613,-1.189522279469546,2325547.899166667,17090,0.5564051261692038,0.29998841717959507,0.14360645665120106,,5748868.0,
1976,26,3.145696765706005,2.7065878811514796,2.9527477338485397,-1.1993923010213086,3677160.884166667,26878,0.5805662807442746,0.26929728733042907,0.15013643192529633,,9117481.0,
1976,29,3.1828565530481865,2.6457814014303533,2.9611470366011132,-1.2322393563016891,6166625.855833333,44753,0.5441857538432053,0.3124174985806924,0.14339674757610224,,4823554.0,
1976,30,3.1955577843752714,2.611537068289713,2.9024833464894875,-1.2268615720591443,3954500.2991666663,27915,0.5477177300242827,0.30511715518773924,0.14716511478797797,,758521.0,
