STATEFIP,YEAR,mean_routine,mean_abstract,mean_manual,total_emp
1,1977,2.2517729090891128,3.7313739373860786,2.323110328937509,2426649.0700000003
1,1978,2.2530723969837747,3.7189681179537,2.324532094790122,4322246.1
1,1979,2.2596095470612423,3.7291976470859933,2.3104717559463785,4304717.25
1,1980,2.279604059526503,3.715176131231873,2.341738510997937,4164957.1400000006
1,1981,2.263856715477226,3.739731075980107,2.304997268862797,4434808.24
1,1982,2.26916704106831,3.720492897505152,2.315087436949558,4568622.890000001
1,1983,2.2869559453800172,3.695288465899727,2.332122314361509,4205909.67
1,1984,2.286386988204961,3.7175823775809884,2.3464015174246855,4296215.640000001
1,1985,2.2892218874239263,3.7090172433193906,2.315429715620978,4926581.7
1,1986,2.280977381570499,3.704398489410866,2.319011768041161,5104827.92
1,1987,2.2713648902204837,3.7135910644268164,2.3025764875149877,5128233.02
1,1988,2.26599241331821,3.7176508684810403,2.3087270117323895,5375919.29
1,1989,2.269740681231661,3.7191246986100865,2.2956364947754855,5423445.399999999
1,1990,2.2817968763129493,3.718657743947201,2.306589602130436,5157961.62
1,1991,2.2723788681248482,3.7280946659728897,2.3115321889125453,5141107.44
1,1992,2.307586519516584,3.6973737962159365,2.306765018498344,5402631.32
1,1993,2.275160581093139,3.698439580891693,2.272373896340876,5594430.2
1,1994,2.2709634732350175,3.7012333606771533,2.273233934305927,6186055.385600001
1,1995,2.2903076035820726,3.701453517291327,2.2756047801624106,6562020.706
1,1996,2.2978749826956055,3.710123544684889,2.282011763040197,7077476.321599999
1,1997,2.2878648502566503,3.704520792806299,2.2752242382569685,7295128.986199999
1,1998,2.268600792024916,3.712198572190098,2.2875651530396564,7495881.7028
1,1999,2.2852028452342728,3.7000246113992614,2.2658999347371847,7897210.987
1,2000,2.274062678621388,3.6823902267852313,2.261926851888134,7707979.956699999
1,2001,2.2556365093345425,3.704523222682085,2.2467380888799524,7624788.2029
1,2002,2.285180077335701,3.7038703285158814,2.256584412943599,8212860.674000001
1,2003,2.2868207128515046,3.7231965928862163,2.250013623659232,7780561.7408
1,2004,2.2925898196597454,3.7332891598879026,2.228739125328642,7339505.7125
1,2005,2.259448330917713,3.7333259211112546,2.204373615107869,7326835.8895
1,2006,2.256828429715255,3.7373762071991385,2.2200020223093073,7541458.1356
1,2007,2.2573814349098464,3.7372527792042605,2.222327239971961,7625889.4627
1,2008,2.287145017156574,3.710811923275985,2.23705326747732,7672681.6793
1,2009,2.268045007051245,3.7110253541391236,2.2403032025836143,7424795.3271
1,2010,2.2517236221401773,3.7204025428931677,2.2223986669257907,7308412.5033
1,2011,2.261484971027192,3.7257126942834278,2.224202716757187,7841844.5601
1,2012,2.276679022550236,3.744215549241105,2.235896080361858,7858249.151699999
1,2013,2.2704331610814834,3.723523388159144,2.2193627596581558,7902401.51
1,2014,2.27097911882669,3.716066885389596,2.215598095772481,7896661.4698
1,2015,2.2791977700082984,3.7413151533543703,2.238281701934606,8057262.391100001
