STATEFIP,YEAR,mean_abstract,mean_routine,mean_manual,mean_rti,total_emp,n_obs
1,1977,3.154335680086142,2.631457962431275,2.814612158887084,-1.1791356496102297,4896361.43,3309.0
1,1978,3.1444453435290622,2.648832048923028,2.8101533151184723,-1.1694919203586505,9409854.760000002,6545.0
1,1979,3.1356972802030665,2.6639461772990534,2.821339183608885,-1.164940353797467,9471078.31,6343.0
1,1980,3.1256331249206215,2.654658496318852,2.806929185360492,-1.1597168888577596,9192844.180000002,6953.0
1,1981,3.130621138939106,2.6619833817645313,2.787507357219888,-1.1517743010178674,9503003.77,6566.0
1,1982,3.132240073368138,2.6643685731394426,2.778575088585796,-1.1503375354639802,9796864.030000001,6453.0
1,1983,3.093780729912582,2.701467239357368,2.8423101614491664,-1.1506348040671845,9900121.54,6333.0
1,1984,3.08908635964924,2.6934896207976227,2.834305242520883,-1.1482705995530917,10179867.879999999,5840.0
1,1985,3.139887445785051,2.6614062825188007,2.7785579078779663,-1.1536453462362566,10649909.030000001,4559.0
1,1986,3.1331037088475875,2.6586649139036624,2.770096863038311,-1.1532102988277604,10684850.879999999,4032.0
1,1987,3.1310198375756895,2.6572381640819493,2.770668411541201,-1.1516776899442942,11156176.34,5205.0
1,1988,3.148435051863215,2.652322773068211,2.7641563153652267,-1.1545903602935548,11063704.809999999,5099.0
1,1989,3.1303146237374273,2.6801545969576983,2.801337807762501,-1.152569906853283,11352072.01,5024.0
1,1990,3.1186131001141213,2.677969661987517,2.810841623597866,-1.154289487940549,11107270.63,4981.0
1,1991,3.123148959665567,2.662581449943104,2.811428242555087,-1.1589967603567515,11217714.919999998,5221.0
1,1992,3.1319642305535824,2.6634768281884305,2.7819157533141174,-1.154231050100299,11514390.61,5375.0
1,1993,3.158610582809641,2.6591415634260755,2.756258871249328,-1.1544489559769286,11623645.24,5190.0
1,1994,3.159906216907271,2.650667752368086,2.746443433414852,-1.155362060311767,12033067.7575,4972.0
