STATEFIP,YEAR,mean_routine,mean_abstract,mean_manual,total_emp
1,1977,2.870010498355914,2.922965194527193,3.3210446428156075,6585766.6
1,1978,2.8811381813343977,2.929949910412643,3.306582427301411,13001579.95
1,1979,2.887216138397608,2.9170776844970328,3.318417718216782,13605246.770000001
1,1980,2.8760378415084755,2.913993646944152,3.3007687179291665,13527724.36
1,1981,2.8812212854045978,2.8955384053033466,3.274398062684572,13068910.58
1,1982,2.8763843001473934,2.900829757607334,3.241339908625307,12598687.79
1,1983,2.848497530293358,2.924609736814355,3.246921979777023,13632371.940000001
1,1984,2.8547765467218467,2.9218544477134207,3.2543455877932277,14532800.379999999
1,1985,2.846774411912497,2.9294369404221623,3.206417092347995,14290267.450000001
1,1986,2.846046482215516,2.9366212873671196,3.2090129595656873,14716023.61
1,1987,2.849411893992315,2.931482614488565,3.2233687207998067,15333135.310000002
1,1988,2.836721669921576,2.939602432361994,3.2383505610582355,14937752.34
1,1989,2.8554740906929754,2.933418957970945,3.249597502805393,15569615.52
1,1990,2.8545706205096835,2.933906930671619,3.247798604573712,15374176.32
1,1991,2.853339880406889,2.9149778966305884,3.2486145233709776,15419704.16
1,1992,2.862074272492198,2.9209318107387037,3.2459093021276657,15586033.93
1,1993,2.865550838711864,2.9317003726817696,3.2385449358679153,15898952.11
1,1994,2.8545280412598695,2.939262768777654,3.2435832666634847,16071441.745900001
1,1995,2.863610968966792,2.9268624070335507,3.2306529832805726,15970489.621099997
1,1996,2.85396995718709,2.9311548783842665,3.252975839616788,16196704.3583
1,1997,2.834838766077735,2.9331942583155177,3.2204836842218154,16792216.5143
1,1998,2.8242980786865624,2.9530540658316204,3.161741949557903,16789370.2179
1,1999,2.8401704525534988,2.9596032524495546,3.189829670958823,15949599.1847
1,2000,2.829477647104732,2.9582398045284095,3.198181462517022,15804166.231900001
1,2001,2.818788612918859,2.9507158816211074,3.1832504995452164,15934175.5896
1,2002,2.837321994087343,2.9619851524020318,3.1909809275338037,14858358.411099996
1,2003,2.839769350214165,2.968659862102711,3.1854470241223165,15975095.223299999
1,2004,2.8144864663725517,2.9509425638037055,3.206758621143425,16175417.3192
1,2005,2.8309869989199514,2.989170693339233,3.2286891340168324,16997242.081899997
