STATEFIP,YEAR,mean_routine,total_emp
1,1977,2.7590960740098613,3137913.48
1,1978,2.768996132869296,6153616.489999999
1,1979,2.7679611437148464,6051210.66
1,1980,2.7862326690838803,5701107.040000001
1,1981,2.7635537689719745,5832726.04
1,1982,2.731457108442581,5952801.53
1,1983,2.785248672999553,5826801.33
1,1984,2.809623484094646,5794016.23
1,1985,2.756652539037714,6092146.77
1,1986,2.766590448212593,6230360.36
1,1987,2.769526091182144,6594653.18
1,1988,2.743825666528289,6423886.890000001
1,1989,2.772454021075225,6388222.33
1,1990,2.774646444632054,6450065.340000001
1,1991,2.7577142487719515,6368523.7299999995
1,1992,2.776367121320771,6343579.0
1,1993,2.7718981404535206,6404473.4799999995
1,1994,2.7265837203397427,6474402.5627
1,1995,2.7388426861221484,6571268.7068
1,1996,2.7577974328273696,6384840.7249
1,1997,2.7016846218257786,6810033.2008
1,1998,2.715429355615114,6612759.347700001
1,1999,2.7319731386659947,6353255.704
1,2000,2.7180789593623875,5894904.833
1,2001,2.691813601952104,6111158.8178
1,2002,2.6740101089251556,5625445.3493
1,2003,2.6687493360945465,5609674.025
1,2004,2.668805124517299,5702381.7829
1,2005,2.6941400951650882,5849496.559800001
1,2006,2.6669339515595665,6699264.8598
1,2007,2.712267232718035,6549289.1298
1,2008,2.7114083489190994,6158469.8781
1,2009,2.6481090003011123,5319546.2005
1,2010,2.6863787504558796,5070586.93
1,2011,2.6774349900156595,5269873.592600001
1,2012,2.6442069851065013,4988050.251
1,2013,2.672485587743499,5569915.4586
1,2014,2.686597285262178,5597881.4161
1,2015,2.653717874680104,5507288.0269
1,2016,2.662751906694596,6017069.2475000005
1,2017,2.693957838187762,6134926.5171
1,2018,2.6664784774528125,6384447.2421
1,2019,2.6536287004520553,6351128.3464
1,2020,2.672869744317179,5752191.1329
1,2021,2.6619562630297295,5556547.6221
1,2022,2.6743584137756335,5686416.795700001
1,2023,2.670815417921643,6508683.092499999
1,2024,2.656784427334298,6535681.8686
1,2025,2.6169680519424676,5797194.4241
1,2026,2.574229934983122,976737.5857999999
2,1977,2.617378215859596,322104.88
2,1978,2.619746764756817,781867.31
2,1979,2.6206364467915386,755939.7200000001
2,1980,2.631433083660751,808824.4199999999
2,1981,2.667967481348109,891083.8700000001
2,1982,2.6260695222500083,861529.06
2,1983,2.643744866521341,886402.53
2,1984,2.621410918205594,943366.36
2,1985,2.636295968243547,887484.53
2,1986,2.6290723357468,884794.74
2,1987,2.6009264738202407,784557.4299999999
2,1988,2.6100387104608553,687431.98
2,1989,2.6345212494086185,669731.49
2,1990,2.638877438827224,801168.69
2,1991,2.616286071360485,788251.55
2,1992,2.615310931063532,836472.8899999999
2,1993,2.6166672729583857,890882.78
2,1994,2.608550992452215,843829.0390999999
2,1995,2.617759196174882,773991.1007000001
2,1996,2.619380907824883,722060.3259999999
2,1997,2.6346660749711677,796328.4229
2,1998,2.642052234057018,844534.8201
2,1999,2.626107356655475,803901.309
2,2000,2.627595307526368,814071.6132000001
2,2001,2.6116423379455287,845769.9417999999
2,2002,2.6347672543304954,811045.2141
2,2003,2.6536353451135914,782015.7174
2,2004,2.656072017489492,842078.8478000001
2,2005,2.6091069475725392,934707.8004000001
2,2006,2.6421798284330045,965558.8665
2,2007,2.6018202173797227,951438.3430000001
2,2008,2.642184979789576,1005466.8703
2,2009,2.640814440364096,1016831.7785
2,2010,2.6321006784099326,1033322.1203999999
2,2011,2.61133732481995,1032854.3324999999
2,2012,2.6008488919945205,981805.9234
2,2013,2.5929942318424475,1010276.8573
2,2014,2.582282889464261,1048501.2744999999
2,2015,2.633552128757533,1032158.4891
2,2016,2.6066855618422955,953756.7789
2,2017,2.603109544646764,954134.9078
2,2018,2.6183747906672865,958026.6542000002
2,2019,2.6015326416849307,991826.4585
2,2020,2.627380185277296,829369.4665999999
2,2021,2.6283324594524307,869425.4849
2,2022,2.5853830922036725,847330.2107000002
2,2023,2.62497488962835,955699.0433999998
2,2024,2.6238083196171247,875939.9546
2,2025,2.6558191066440298,817760.665
2,2026,2.6711324029752364,179276.09660000002
4,1977,2.6455041481731136,1967395.83
4,1978,2.6717547212358004,4051909.0700000003
4,1979,2.656298153824658,4426455.0
4,1980,2.651739720635035,5000621.42
4,1981,2.64815806097527,5092177.77
4,1982,2.6338037793625797,5587011.96
4,1983,2.6614299876951297,5950192.76
4,1984,2.6647914343805463,6271092.4
4,1985,2.6539473087321666,6036130.1
4,1986,2.6465978838583415,6602403.44
4,1987,2.6532031334974944,6483563.54
4,1988,2.6568851834921468,6104804.92
4,1989,2.6441385131200534,6092022.61
4,1990,2.6287398443888272,6509939.78
4,1991,2.6400584759537136,5666250.899999999
4,1992,2.5996348307209023,5379184.29
4,1993,2.6139712299190707,5242430.6
4,1994,2.605002943890412,6047421.0435
4,1995,2.6203539832384513,6965837.4325
4,1996,2.6472418554645865,7468042.314300001
4,1997,2.6308784707971222,7981444.3116999995
4,1998,2.630365172265208,7735801.7497
4,1999,2.611081001414871,7990231.7268
4,2000,2.63151502088453,8374752.152300001
4,2001,2.630567088852157,8374685.735400001
4,2002,2.596608806064632,7833762.9498
4,2003,2.5842054123702116,7863273.451900001
4,2004,2.5918785317099853,8087712.7622
4,2005,2.5966162608186174,8363234.1306
4,2006,2.605488901765293,9013627.0987
4,2007,2.5837937408832863,9151320.4541
4,2008,2.5907304210282733,8835385.5261
4,2009,2.5490567126696235,7864561.467300001
4,2010,2.548131948247407,7795501.9528
4,2011,2.56649102780899,7657713.2475000005
4,2012,2.560850513615627,7720680.6778
4,2013,2.565923425137338,7422626.2171
4,2014,2.5560124492260816,8091692.5583999995
4,2015,2.5966103166052217,8724302.4185
4,2016,2.6133531028763386,8803119.9754
4,2017,2.5521252660797193,9170318.703000002
4,2018,2.5546000879873754,9494190.075800002
4,2019,2.5884482088000453,10210942.444899999
4,2020,2.6170676719083366,9702206.8624
4,2021,2.6089994215670975,10586155.9532
4,2022,2.6271404585506293,9389547.0842
4,2023,2.5814593417345275,10940852.566300001
4,2024,2.578799509849819,10112977.128800001
4,2025,2.5775187367579413,9626524.7441
4,2026,2.578793195540815,1693788.8708000001
5,1977,2.7513186685704367,1762923.9300000002
5,1978,2.7792179632390077,3503383.2199999997
5,1979,2.762451699188967,3914105.4099999997
5,1980,2.756419937696776,3769073.0999999996
5,1981,2.7288848681399394,3731524.76
5,1982,2.731374403992394,3789460.3499999996
5,1983,2.7155657063729866,3827710.86
5,1984,2.772463756904587,3689514.85
5,1985,2.7384704183056665,3683973.24
5,1986,2.7424565416876114,3711945.8
5,1987,2.759260892245821,3617676.8300000005
5,1988,2.7962480413567,3912305.2800000003
5,1989,2.748818892722538,4206335.09
5,1990,2.748935350889149,3871241.28
5,1991,2.7596289622590504,3656791.4800000004
5,1992,2.7517090054596594,3663412.0999999996
5,1993,2.7843498289130917,3402683.59
5,1994,2.797914382024681,3922854.0535999998
5,1995,2.7496746553489824,3764431.5291999998
5,1996,2.7705669750974864,3894525.684
5,1997,2.742785310227107,3821505.9311999995
5,1998,2.6890250014568418,3930019.3604
5,1999,2.700487231865638,3946644.3384999996
5,2000,2.7239561126309964,3912818.1067
5,2001,2.724361796902699,3620493.8474
5,2002,2.6927992643658567,3533625.3882999998
5,2003,2.697948463167175,3500755.2207
5,2004,2.6782727119175584,3707054.7656999994
5,2005,2.6967889470370943,3697260.1736000003
5,2006,2.687587705633871,3869617.9511999995
5,2007,2.69306473964564,4205187.8625
5,2008,2.679764340323779,4029120.3079999997
5,2009,2.6469110495143937,3941082.1289
5,2010,2.647235206653251,3848612.4438
5,2011,2.6438870845449705,3929806.7193
5,2012,2.6381751021087276,3696531.3573000003
5,2013,2.650643851518185,3446230.9398
5,2014,2.67480998343663,3584958.2673
5,2015,2.626749177169285,3523989.4471000005
5,2016,2.6130641726967325,3741029.958
5,2017,2.6244048355556844,4061552.6415
5,2018,2.6602636022068875,4003653.6687000003
5,2019,2.661576905811452,4141781.7254
5,2020,2.6680928542195974,3656819.8537
5,2021,2.6635143882903867,4054789.9477999997
5,2022,2.63193655191042,4055811.3571
5,2023,2.6255820665499594,4179209.33
5,2024,2.622123862402873,4254182.6108
5,2025,2.681070851578767,3989327.5944
5,2026,2.586330904423963,741042.4327
