STATEFIP,YEAR,mean_routine,total_emp
1,1977,2.681966733732378,4506019.37
1,1978,2.7165677600842684,8360310.94
1,1979,2.7405006092026825,9025442.879999999
1,1980,2.72162352109139,9332143.78
1,1981,2.7081250045714005,9311375.98
1,1982,2.7195308664518385,9095817.209999999
1,1983,2.68966217777792,9527064.81
1,1984,2.6949623347538947,10501072.97
1,1985,2.6804953605218858,10760131.809999999
1,1986,2.6791216837693312,10973395.579999998
1,1987,2.6829319041086808,11152956.3
1,1988,2.6719374884589597,11121493.510000002
1,1989,2.683889660908462,11889738.18
1,1990,2.6851480206615617,11568271.74
1,1991,2.685954110159152,11668090.11
1,1992,2.697810832650008,12095624.86
1,1993,2.6913997185644667,12526230.61
1,1994,2.6905944494664245,13117729.594399998
1,1995,2.685631649888556,13335963.514800001
1,1996,2.659776255503555,14197215.0901
1,1997,2.662380278903032,14343049.9888
1,1998,2.6434203233670854,14651716.199400002
1,1999,2.6385249271383366,14701514.362399999
1,2000,2.636851169331641,14414545.0753
1,2001,2.629925518976678,14166819.7863
1,2002,2.6293801157907177,14164881.051600002
1,2003,2.660866122984163,14688480.314499998
1,2004,2.653366669407345,14226089.6775
1,2005,2.661110130946697,14702179.017199999
1,2006,2.6309441153928756,13449503.385899998
1,2007,2.635200362177869,13541882.4893
1,2008,2.6247234760066633,13198868.779000001
1,2009,2.6148908440936287,12453986.459800001
1,2010,2.650367400228695,13061159.8115
1,2011,2.641285915784376,12768361.3503
1,2012,2.6385374228939935,13220137.973900001
1,2013,2.62613133033641,12560603.418000001
1,2014,2.611337159272692,12931543.6149
1,2015,2.629223933016859,13049106.3759
1,2016,2.6211352708329803,12906258.521499999
1,2017,2.6188002699221147,12771333.335900001
1,2018,2.592850551436494,12838227.8471
1,2019,2.582665623080585,13164186.238
1,2020,2.5940247499068234,12889127.643199999
1,2021,2.600014579081854,13648023.1139
1,2022,2.606559287794746,14421844.409400001
1,2023,2.5949213350876,13953054.807300001
1,2024,2.612563143814593,13865004.018800002
1,2025,2.5876128068838464,13251231.7846
1,2026,2.5885789980932468,2300026.3406
2,1977,2.5590417838911192,421312.16000000003
2,1978,2.55683864072977,962376.61
2,1979,2.5343409560354235,1030270.2200000001
2,1980,2.5620864882057117,1061366.57
2,1981,2.5594271224289438,1063353.12
